ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/55/10,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational,Original
grib2/4/55/11,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational,Original
grib2/4/55/12,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,12,,Классификация тайлов,см. кодовую таблицу 4.242,,4.242,,operational,Original
grib2/4/55/13,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,13,,Общее количество (NT) пар тайл-атрибут (см. примечания 1 и 2),,,,,operational,Original
grib2/4/55/14,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,14,,Количество использованных пространственных тайлов (NUT) (см. примечания 1 и 2),,,,,operational,Original
grib2/4/55/15,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,15,,Индекс тайла (ITN = {1,…, NUT}),см. примечание 1,,1,Original
grib2/4/55/16,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,16,,Количество использованных атрибутов тайла (NAT) для индекса тайла ITN,см. примечание 1,,1,,operational,Original
grib2/4/55/17,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,17,,Атрибут тайла (см. кодовую таблицу 4.241) (A = {A(1),…, A(NAT(ITN))}),см. примечание 1,,1,Original
grib2/4/55/18,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,18,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational,Original
grib2/4/55/19,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,19,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational,Original
grib2/4/55/20,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,20,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational,Original
grib2/4/55/21-22,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,21–22,,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 3,,3,,operational,Original
grib2/4/55/23,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,23,,Минуты отсечения данных наблюдений после времени начала отсчета (продолж.) (Образец определения продукции 4.55 — продолж.),,,,,operational,Original
grib2/4/55/24,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,24,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational,Original
grib2/4/55/25-28,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,25–28,,Период действия прогноза в единицах, определенных в октете 24,,,,,Original
grib2/4/55/29,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,29,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,Original
grib2/4/55/30,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,30,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational,Original
grib2/4/55/31-34,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,31–34,,Масштабированная величина первой фиксированной поверхности,,,,,operational,Original
grib2/4/55/35,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,35,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,Original
grib2/4/55/36,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,36,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational,Original
grib2/4/55/37-40,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,37–40,,Масштабированная величина второй фиксированной поверхности,,,,,operational,Original
