ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/7/53/0,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,0,,Метеорологическая продукция,,,,,operational,Original
grib2/7/53/1,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,1,,Гидрологическая продукция,,,,,operational,Original
grib2/7/53/2,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,2,,Продукция, связанная с поверхностью суши,,,,,Original
grib2/7/53/3,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,3,,Продукция спутникового дистанционного зондирования (ранее «Космическая продукция»),,,,,operational,Original
grib2/7/53/4,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,4,,Продукция, связанная с космической погодой,,,,,Original
grib2/7/53/5-9,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,5–9,,Зарезервированы,,,,,operational,Original
grib2/7/53/10,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,10,,Океанографическая продукция,,,,,operational,Original
grib2/7/53/11-191,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,11–191,,Зарезервированы,,,,,operational,Original
grib2/7/53/192-254,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,192–254,,Зарезервированы для местного использования,,,,,operational,Original
grib2/7/53/255,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,255,,Отсутствующее КОДОВЫЕ ТАБЛИЦЫ, ИСПОЛЬЗУЕМЫЕ В РАЗДЕЛЕ 1 Кодовая таблица 1.0 — Номера версий эталонных таблиц GRIB Кодовая Значение цифра,,,,,Original
grib2/7/53/0,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,0,,Экспериментальная,,,,,operational,Original
grib2/7/53/1,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,1,,Версия, осуществляемая с 7 ноября 2001 г.,,,,,Original
grib2/7/53/2,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,2,,Версия, осуществляемая с 4 ноября 2003 г.,,,,,Original
grib2/7/53/3,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,3,,Версия, осуществляемая с 2 ноября 2005 г.,,,,,Original
grib2/7/53/4,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,4,,Версия, осуществляемая с 7 ноября 2007 г.,,,,,Original
grib2/7/53/5,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,5,,Версия, осуществляемая с 4 ноября 2009 г.,,,,,Original
grib2/7/53/6,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,6,,Версия, осуществляемая с 15 сентября 2010 г.,,,,,Original
grib2/7/53/7,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,7,,Версия, осуществляемая с 4 мая 2011 г.,,,,,Original
grib2/7/53/8,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,8,,Версия, осуществляемая с 2 ноября 2011 г.,,,,,Original
grib2/7/53/9,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,9,,Версия, осуществляемая со 2 мая 2012 г.,,,,,Original
grib2/7/53/10,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,10,,Версия, осуществляемая с 7 ноября 2012 г.,,,,,Original
grib2/7/53/11,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,11,,Версия, осуществляемая с 8 мая 2013 г.,,,,,Original
grib2/7/53/12,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,12,,Версия, осуществляемая с 14 ноября 2013 г.,,,,,Original
grib2/7/53/13,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,13,,Версия, осуществляемая с 7 мая 2014 г.,,,,,Original
grib2/7/53/14,Образец данных 7.53 — спектральные данные для моделей ограниченной территории —,14,,Версия, осуществляемая с 5 ноября 2014 г.,,,,,Original
