ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/3/10,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/3/11,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/3/12,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/3/13,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/3/14,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",14,1,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/3/15-16,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",15-16,2,Часы отсечения данных после времени начала отсчета (см. примечание),,33,,,Operational,PDF
grib2/4/3/17,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",17,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/3/18,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",18,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/3/19-22,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",19-22,4,Период действия прогноза в единицах,определенных в октете 18,,,,Operational,PDF
grib2/4/3/23,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",23,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/3/24,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",24,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/3/25-28,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",25-28,4,Масштабированная величина первой фиксированной поверхности (продолж.) (Образец определения продукции 4.3 — продолж.),,,,,Operational,PDF
grib2/4/3/29,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",29,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/3/30,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",30,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/3/31-34,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",31-34,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/3/35,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",35,1,Вычисленный прогноз,см. кодовую таблицу 4.7,,4.7,,Operational,PDF
grib2/4/3/36,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",36,1,Количество прогнозов в ансамбле (N),,,,,Operational,PDF
grib2/4/3/37,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",37,1,Указатель кластера,,,,,Operational,PDF
grib2/4/3/38,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",38,1,Номер кластера,к которому относится контроль высокого разрешения,,,,Operational,PDF
grib2/4/3/39,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",39,1,Номер кластера,к которому относится контроль низкого разрешения,,,,Operational,PDF
grib2/4/3/40,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",40,1,Общее количество кластеров,,,,,Operational,PDF
grib2/4/3/41,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",41,1,Метод формирования кластеров,см. кодовую таблицу 4.8,,4.8,,Operational,PDF
grib2/4/3/42-45,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",42-45,4,Северная широта области кластера,,,,,Operational,PDF
grib2/4/3/46-49,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",46-49,4,Южная широта области кластера,,,,,Operational,PDF
grib2/4/3/50-53,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",50-53,4,Восточная долгота области кластера,,,,,Operational,PDF
grib2/4/3/54-57,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",54-57,4,Западная долгота области кластера,,,,,Operational,PDF
grib2/4/3/58,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",58,1,N — количество прогнозов в кластере c,,,,,Operational,PDF
grib2/4/3/59,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",59,1,Масштабный коэффициент стандартного отклонения в кластере,,,,,Operational,PDF
grib2/4/3/60-63,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",60-63,4,Масштабированная величина стандартного отклонения в кластере,,,,,Operational,PDF
grib2/4/3/64,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",64,1,Масштабный коэффициент отклонения кластера от средней по ансамблю,,,,,Operational,PDF
grib2/4/3/65-68,"Образец определения продукции 4.3 — вычисленные прогнозы, основанные на кластере",65-68,4,Масштабированная величина отклонения кластера от средней по ансамблю 69–(68+N) Список из N номеров ансамблевых прогнозов (N приводится в октете 58) c c c Примечание. Часы,превышающие 65534,,,,Operational,PDF
