Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,14,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,15–16,,Часы отсечения данных после времени начала отсчета,см. примечание 1,,1,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,17,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,19–22,,Период действия прогноза в единицах, определенных в октете 18,,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.7 — ошибка анализа или прогноза по горизонтальному,31–34,,Масштабированная величина второй фиксированной поверхности,,,,,operational
