Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,12–13,,Указатель процесса ввода данных,см. примечание 1,,1,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,14–15,,Центр — поставщик входных данных (см. общую кодовую таблицу C-11 и примечание 2),,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,16,,Тип постпроцессинга,см. примечание 3,,3,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,17,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,18,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,19,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,20–21,,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 4,,4,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,22,,Минуты отсечения данных наблюдений после времени начала отсчета,,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,23,,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,24–27,,Период действия прогноза в единицах, определенных в октете 23,,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,28,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,29,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,30–33,,Масштабированная величина первой фиксированной поверхности (продолж.) (Образец определения продукции 4.70 — продолж.),,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,34,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,35,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.70 — анализ или прогноз по горизонтальному уровню или,36–39,,Масштабированная величина второй фиксированной поверхности,,,,,operational
