Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,12–13,,Тип аэрозоля (см. общую кодовую таблицу C-14),,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,14,,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,15,,Масштабный коэффициент первого размера,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,16–19,,Масштабированная величина первого размера в метрах,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,20,,Масштабный коэффициент второго размера,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,21–24,,Масштабированная величина второго размера в метрах,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,25,,Тип интервала для первой и второй длин волн (продолж.) (Образец определения продукции 4.48 — продолж.),см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,26,,Масштабный коэффициент первой длины волны,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,27–30,,Масштабированная величина первой длины волны в метрах,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,31,,Масштабный коэффициент второй длины волны,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,32–35,,Масштабированная величина второй длины волны в метрах,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,36,,Тип процесса выпуска,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,37,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,38,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,39–40,,Часы отсечения данных наблюдений после времени отсчета (см. примечание),,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,41,,Минуты отсечения данных наблюдений после времени отсчета,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,42,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,43–46,,Период действия прогноза в единицах, определенных в октете 42,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,47,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,48,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,49–52,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,53,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,54,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.48 — анализ или прогноз по горизонтальному уровню или,55–58,,Масштабированная величина второй фиксированной поверхности Примечание. Количество часов, превышающее 65534, будет кодироваться как 65534.,,,,,operational
