ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/20/15,Образец определения сетки 3.20 — полярная стереографическая проекция,15,1,Форма Земли,см. кодовую таблицу 3.2,,3.2,,Operational,PDF
grib2/3/20/16,Образец определения сетки 3.20 — полярная стереографическая проекция,16,1,Масштабный коэффициент радиуса сферической Земли,,,,,Operational,PDF
grib2/3/20/17-20,Образец определения сетки 3.20 — полярная стереографическая проекция,17-20,4,Масштабированная величина радиуса сферической Земли,,,,,Operational,PDF
grib2/3/20/21,Образец определения сетки 3.20 — полярная стереографическая проекция,21,1,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/20/22-25,Образец определения сетки 3.20 — полярная стереографическая проекция,22-25,4,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/20/26,Образец определения сетки 3.20 — полярная стереографическая проекция,26,1,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/20/27-30,Образец определения сетки 3.20 — полярная стереографическая проекция,27-30,4,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/20/31-34,Образец определения сетки 3.20 — полярная стереографическая проекция,31-34,4,Nx — количество узлов вдоль оси x,,,,,Operational,PDF
grib2/3/20/35-38,Образец определения сетки 3.20 — полярная стереографическая проекция,35-38,4,Ny — количество узлов вдоль оси y,,,,,Operational,PDF
grib2/3/20/39-42,Образец определения сетки 3.20 — полярная стереографическая проекция,39-42,4,La1 — широта первого узла сетки,,,,,Operational,PDF
grib2/3/20/43-46,Образец определения сетки 3.20 — полярная стереографическая проекция,43-46,4,Lo1 — долгота первого узла сетки,,,,,Operational,PDF
grib2/3/20/47,Образец определения сетки 3.20 — полярная стереографическая проекция,47,1,Флаги разрешения и компонентов (см. таблицу флагов 3.3 и примечание 1),,114,,,Operational,PDF
grib2/3/20/48-51,Образец определения сетки 3.20 — полярная стереографическая проекция,48-51,4,LaD — долгота,для которой определены Dx и Dy,,,,Operational,PDF
grib2/3/20/52-55,Образец определения сетки 3.20 — полярная стереографическая проекция,52-55,4,LoV — ориентация сетки,см. примечание 2,51,2,,Operational,PDF
grib2/3/20/56-59,Образец определения сетки 3.20 — полярная стереографическая проекция,56-59,4,Dx — шаг сетки в направлении x,см. примечание 3,28,3,,Operational,PDF
grib2/3/20/60-63,Образец определения сетки 3.20 — полярная стереографическая проекция,60-63,4,Dy — шаг сетки в направлении y,см. примечание 3,28,3,,Operational,PDF
grib2/3/20/64,Образец определения сетки 3.20 — полярная стереографическая проекция,64,1,Центр проекции,см. таблицу флагов 3.5,,3.5,,Operational,PDF
grib2/3/20/65,Образец определения сетки 3.20 — полярная стереографическая проекция,65,1,Режим сканирования,см. таблицу флагов 3.4,,3.4,,Operational,PDF
