Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения сетки 3.20 — полярная стереографическая проекция,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,17–20,,Масштабированная величина радиуса сферической Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,22–25,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,26,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,27–30,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,31–34,,Nx — количество узлов вдоль оси x,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,35–38,,Ny — количество узлов вдоль оси y,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,39–42,,La1 — широта первого узла сетки,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,43–46,,Lo1 — долгота первого узла сетки,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,47,,Флаги разрешения и компонентов (см. таблицу флагов 3.3 и примечание 1),,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,48–51,,LaD — долгота, для которой определены Dx и Dy,,,,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,52–55,,LoV — ориентация сетки,см. примечание 2,,2,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,56–59,,Dx — шаг сетки в направлении x,см. примечание 3,,3,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,60–63,,Dy — шаг сетки в направлении y,см. примечание 3,,3,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,64,,Центр проекции,см. таблицу флагов 3.5,,3.5,,operational
Образец определения сетки 3.20 — полярная стереографическая проекция,65,,Режим сканирования,см. таблицу флагов 3.4,,3.4,,operational
