Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,17–20,,Масштабированная величина радиуса сферической Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,22–25,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,26,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,27–30,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,31–34,,Ni – количество узлов вдоль параллели,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,35–38,,Nj – количество узлов вдоль меридиана,,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,39–42,,Основной угол начальной продукционной области,см. примечание 1,,1,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,43–46,,Подразделения основного угла, использованные для определения экстремальных долгот и широт и приращений по направлениям (см. примечание 1),,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,47,,Флаги разрешения и компонентов (см. таблицу флагов 3.3 и примечание 2),,,,,operational
Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,48,,Режим сканирования (флаги — см. таблицу флагов 3.4) 49–ii Список долгот (см. примечания 1 и 3) (ii+1)– jj Список широт (см. примечания 1 и 3),,,,,operational
