ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/20/10,Образец определения продукции 4.20 — радиолокационная продукция,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational,PDF
grib2/4/20/11,Образец определения продукции 4.20 — радиолокационная продукция,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational,PDF
grib2/4/20/12,Образец определения продукции 4.20 — радиолокационная продукция,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational,PDF
grib2/4/20/13,Образец определения продукции 4.20 — радиолокационная продукция,13,,Количество используемых радиолокационных станций,,,,,operational,PDF
grib2/4/20/14,Образец определения продукции 4.20 — радиолокационная продукция,14,,Указатель единицы временного диапазона,,,,,operational,PDF
grib2/4/20/15-18,Образец определения продукции 4.20 — радиолокационная продукция,15–18,,Широта станции (в 10-6 градуса),,,,,operational,PDF
grib2/4/20/19-22,Образец определения продукции 4.20 — радиолокационная продукция,19–22,,Долгота станции (в 10-6 градуса),,,,,operational,PDF
grib2/4/20/23-24,Образец определения продукции 4.20 — радиолокационная продукция,23–24,,Возвышение станции (метры),,,,,operational,PDF
grib2/4/20/25-28,Образец определения продукции 4.20 — радиолокационная продукция,25–28,,Опознавательный номер станции (буквенно-цифровой),,,,,operational,PDF
grib2/4/20/29-30,Образец определения продукции 4.20 — радиолокационная продукция,29–30,,Опознавательный номер станции (цифровой),,,,,operational,PDF
grib2/4/20/31,Образец определения продукции 4.20 — радиолокационная продукция,31,,Режим функционирования,см. кодовую таблицу 4.12,,4.12,,operational,PDF
grib2/4/20/32,Образец определения продукции 4.20 — радиолокационная продукция,32,,Калибровочная константа отражающей способности (десятые доли дБ),,,,,operational,PDF
grib2/4/20/33,Образец определения продукции 4.20 — радиолокационная продукция,33,,Указатель контроля качества,см. кодовую таблицу 4.13,,4.13,,operational,PDF
grib2/4/20/34,Образец определения продукции 4.20 — радиолокационная продукция,34,,Указатель фильтра помех (продолж.) (Образец определения продукции 4.20 — продолж.),см. кодовую таблицу 4.14,,4.14,,operational,PDF
grib2/4/20/35,Образец определения продукции 4.20 — радиолокационная продукция,35,,Постоянный угол возвышения антенны (десятые доли истинного градуса),,,,,operational,PDF
grib2/4/20/36-37,Образец определения продукции 4.20 — радиолокационная продукция,36–37,,Интервал накопления (минуты),,,,,operational,PDF
grib2/4/20/38,Образец определения продукции 4.20 — радиолокационная продукция,38,,Величина начала отсчета отражающей способности для максимального эхо (дБ),,,,,operational,PDF
grib2/4/20/39-41,Образец определения продукции 4.20 — радиолокационная продукция,39–41,,Диапазон размещения элементов разрешения (метры),,,,,operational,PDF
grib2/4/20/42-43,Образец определения продукции 4.20 — радиолокационная продукция,42–43,,Радиальное угловое разнесение (десятые доли истинного градуса),,,,,operational,PDF
