ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/91/10,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational,PDF
grib2/4/91/11,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational,PDF
grib2/4/91/12,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational,PDF
grib2/4/91/13,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational,PDF
grib2/4/91/14,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,14,,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,operational,PDF
grib2/4/91/15-16,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,15–16,,Часы отсечения данных после времени начала отсчета,см. примечание 1,,1,,operational,PDF
grib2/4/91/17,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,17,,Минуты отсечения данных после времени начала отсчета,,,,,operational,PDF
grib2/4/91/18,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational,PDF
grib2/4/91/19-22,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,19–22,,Период действия прогноза в единицах, определенных в октете 18,см. примечание 2,,2,,PDF
grib2/4/91/23,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,PDF
grib2/4/91/24,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational,PDF
grib2/4/91/25-28,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational,PDF
grib2/4/91/29,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,PDF
grib2/4/91/30,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational,PDF
grib2/4/91/31-34,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,31–34,,Масштабированная величина второй фиксированной поверхности,,,,,operational,PDF
grib2/4/91/35,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,35,,NC — количество категорий,,,,,operational,PDF
grib2/4/91/36-,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,36–,,Повторить следующие 12 октетов для каждой категории (i = 1, NC) (продолж.) (Образец определения продукции 4.91 — продолж.),,,,,PDF
grib2/4/91/60-71,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,60–71,,С пецификация наиболее удаленного (или единственного) временного диапазона, за который проводится статистическая обработка (60+12(NC–1)) С татистический процесс, используемый для расчета обработанного поля на основе поля за каждый инкремент времени в течение временного диапазона (см. кодовую таблицу 4.10) (61+12(NC–1)) Т ип инкремента времени между последовательными полями, используе- мыми в статистической обработке (см. кодовую таблицу 4.11) (62+12(NC–1)) У казатель единицы времени для временного диапазона, за который проводится статистическая обработка (см. кодовую таблицу 4.4) (63+12(NC–1))–(66+12(NC–1)) П родолжительность временного диапазона, за который проводится статистическая обработка,PDF
grib2/4/91/72-nn,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,72-nn,,Э ти октеты включаются, только если n>1, где nn = 72+12(n–1)+12(NC–1) (72+12(NC–1))–(83+12(NC–1)) К ак в октетах (60+12(NC–1))–(71+12(NC–1)), следующий наиболее удаленный шаг обработки (84+12(NC–1))–nn Д ополнительные спецификации временного диапазона, включенные в соответствии с величиной n. Содержание как в октетах (60+12(NC–1))–(71+12(NC–1)), при необходимости повторяется,PDF
