Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,12–13,,Тип аэрозоля (см. общую кодовую таблицу C–14),,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,14,,Источник или поглотитель,см. кодовую таблицу 4.238,,4.238,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,15,,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,16,,Масштабный коэффициент первого размера,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,17–20,,Масштабированная величина первого размера в метрах,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,21,,Масштабный коэффициент второго размера,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,22–25,,Масштабированная величина второго размера в метрах,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,26,,Тип интервала для первой и второй длин волн,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,27,,Масштабный коэффициент первой длины волны,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,28–31,,Масштабированная величина первой длины волны в метрах,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,32,,Масштабный коэффициент второй длины волны,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,33–36,,Масштабированная величина второй длины волны в метрах,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,37,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,38,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,39,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,40–41,,Часы отсечения данных после времени начала отсчета (см. примечание),,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,42,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,43,,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,44–47,,Период действия прогноза в единицах, определенных в октете 42,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,48,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,49,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,50–53,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,54,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,55,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,56–59,,Масштабированная величина второй фиксированной поверхности Примечание: часы, превышающие 65534, будут кодироваться как 65534.,,,,,operational
