ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/79//1,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,PDF
grib2/4/79//2,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,PDF
grib2/4/79//3,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,12–13,,Тип химических составляющих атмосферы,см. кодовую таблицу 4.230,,4.230,,PDF
grib2/4/79//4,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,14,,Источник или поглотитель,см. кодовую таблицу 4.238,,4.238,,PDF
grib2/4/79//5,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,15,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,PDF
grib2/4/79//6,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,16,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,PDF
grib2/4/79//7,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,17,,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,PDF
grib2/4/79//8,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,18–19,,Часы отсечения данных после времени начала отсчета,см. примечание 1,,1,,PDF
grib2/4/79//9,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,20,,Минуты отсечения данных после времени начала отсчета,,,,,PDF
grib2/4/79//10,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,21,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,PDF
grib2/4/79//11,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,22–25,,Период действия прогноза в единицах, определенных в октете 20,см. примечание 2,,2,PDF
grib2/4/79//12,Образец определения продукции 4.79 — индивидуальный ансамблевый прогноз,,26,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,PDF
