ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/9/10,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational,PDF
grib2/4/9/11,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational,PDF
grib2/4/9/12,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational,PDF
grib2/4/9/13,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational,PDF
grib2/4/9/14,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,14,,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,operational,PDF
grib2/4/9/15-16,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,15–16,,Часы отсечения данных после времени начала отсчета,см. примечание 1,,1,,operational,PDF
grib2/4/9/17,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,17,,Минуты отсечения данных после времени начала отсчета,,,,,operational,PDF
grib2/4/9/18,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational,PDF
grib2/4/9/19-22,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,19–22,,Период действия прогноза в единицах, определенных в октете 18,см. примечание 2,,2,,PDF
grib2/4/9/23,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,PDF
grib2/4/9/24,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational,PDF
grib2/4/9/25-28,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational,PDF
grib2/4/9/29,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,PDF
grib2/4/9/30,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational,PDF
grib2/4/9/31-34,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,31–34,,Масштабированная величина второй фиксированной поверхности,,,,,operational,PDF
grib2/4/9/35,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,35,,Номер вероятности прогноза,,,,,operational,PDF
grib2/4/9/36,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,36,,Общее количество вероятностей прогноза,,,,,operational,PDF
grib2/4/9/37,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,37,,Тип вероятности,см. кодовую таблицу 4.9,,4.9,,operational,PDF
grib2/4/9/38,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,38,,Масштабный коэффициент нижнего предела,,,,,operational,PDF
grib2/4/9/39-42,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,39–42,,Масштабированная величина нижнего предела,,,,,operational,PDF
grib2/4/9/43,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,43,,Масштабированный коэффициент верхнего предела,,,,,operational,PDF
grib2/4/9/44-47,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,44–47,,Масштабированная величина верхнего предела,,,,,operational,PDF
grib2/4/9/48-49,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,48–49,,Год окончания всего временного интервала,,,,,operational,PDF
grib2/4/9/50,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,50,,Месяц окончания всего временного интервала (продолж.) (Образец определения продукции 4.9 — продолж.),,,,,operational,PDF
grib2/4/9/51,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,51,,День окончания всего временного интервала,,,,,operational,PDF
grib2/4/9/52,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,52,,Час окончания всего временного интервала,,,,,operational,PDF
grib2/4/9/53,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,53,,Минута окончания всего временного интервала,,,,,operational,PDF
grib2/4/9/54,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,54,,Секунда окончания всего временного интервала,,,,,operational,PDF
grib2/4/9/55,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,55,,n — количество спецификаций временного диапазона, описывающих временные интер- валы, используемые для расчета статистически обработанного поля,,,,PDF
grib2/4/9/56-59,Образец определения продукции 4.9 — вероятностные прогнозы по горизонтальному,56–59,,Общее количество значений данных, отсутствующих в статистическом процессе,,,,,PDF
