Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,12–13,,Тип аэрозоля (см. общую кодовую таблицу C–14),,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,14,,Источник или поглотитель,см. кодовую таблицу 4.238,,4.238,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,15,,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,16,,Масштабный коэффициент первого размера,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,17–20,,Масштабированная величина первого размера в метрах,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,21,,Масштабный коэффициент второго размера (продолж.) (Образец определения продукции 4.81 — продолж.),,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,22–25,,Масштабированная величина второго размера в метрах,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,26,,Тип интервала для первой и второй длин волн,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,27,,Масштабный коэффициент первой длины волны,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,28–31,,Масштабированная величина первой длины волны в метрах,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,32,,Масштабный коэффициент второй длины волны,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,33–36,,Масштабированная величина второй длины волны в метрах,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,37,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,38,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,39,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,40–41,,Часы отсечения данных после времени начала отсчета (см. примечание),,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,42,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,43,,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,44–47,,Период действия прогноза в единицах, определенных в октете 42,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,48,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,49,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,50–53,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,54,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,55,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,56–59,,Масштабированная величина второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,60,,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,4.6,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,61,,Количество возмущений,,,,,operational
Образец определения продукции 4.81 — индивидуальный ансамблевый прогноз, контроль-,62,,Количество прогнозов в ансамбле Примечание: часы, превышающие 65534, будут кодироваться как 65534.,,,,,operational
