ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/1/12-21,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,12–21,,То же, что и в образце представления данных 5.0,,,,,PDF
grib2/5/1/22,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,22,,0 — матричное битовое отображение отсутствует; 1 — матричное битовое отображение присутствует,,,,,operational,PDF
grib2/5/1/23-26,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,23–26,,Количество значений данных, закодированных в разделе 7,,,,,PDF
grib2/5/1/27-28,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,27–28,,NR — первое измерение (ряды) каждой матрицы,,,,,operational,PDF
grib2/5/1/29-30,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,29–30,,NC — второе измерение (колонки) каждой матрицы,,,,,operational,PDF
grib2/5/1/31,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,31,,Определение величины координаты первого измерения (кодовая таблица 5.2),,,,,operational,PDF
grib2/5/1/32,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,32,,NC1 — количество коэффициентов или величин, используемых для описания функции координат первого измерения,,,,,PDF
grib2/5/1/33,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,33,,Определение величины координаты второго измерения (кодовая таблица 5.2),,,,,operational,PDF
grib2/5/1/34,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,34,,NC2 — количество коэффициентов или величин, используемых для описания функции коор динат второго измерения,,,,,PDF
grib2/5/1/35,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,35,,Физический смысл первого измерения (кодовая таблица 5.3),,,,,operational,PDF
grib2/5/1/36,Образец представления данных 5.1 — матричные величины в узлах сетки — простая,36,,Физический смысл второго измерения (кодовая таблица 5.3) 37–(36+NC1 × 4) К оэффициенты для определения величин координат первого измерения в функциональной форме или явных величин координат (32-битовая величина в стандарте IEEE с плавающей запятой) (37+NC1 × 4)–(36+4(NC1+NC2)) К оэффициенты для определения величин координат второго измерения в функциональной форме или явных величин координат (32-битовая величина в стандарте IEEE с плавающей запятой),,,,,operational,PDF
