Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,12–13,,Указатель процесса ввода данных,см. примечание 1,,1,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,14–15,,Центр — поставщик входных данных (см. общую кодовую таблицу C-11 и примечание 2),,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,16,,Тип постпроцессинга,см. примечание 3,,3,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,17,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,18,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,19,,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,20–21,,Часы отсечения данных после времени начала отсчета,см. примечание 4,,4,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,22,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,23,,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,24–27,,Период действия прогноза в единицах, определенных в октете 23,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,28,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,29,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,30–33,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,34,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,35,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,36–39,,Масштабированная величина второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,40,,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,4.6,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,41,,Номер возмущения,,,,,operational
Образец определения продукции 4.71 — индивидуальный ансамблевый прогноз, проконтро-,42,,Количество прогнозов в ансамбле,,,,,operational
