"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","12","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","14","","Identificador del proceso de producción de la predicción (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","15-16","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota 1)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","17","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","18","","Indicador de la unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","19-22","","Hora de la predicción expresada en la unidad precisada por el octeto 18","(véase la nota 2)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","23","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","24","","Factor de escala de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","25-28","","Valor ajustado de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","29","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","30","","Factor de escala de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","31-34","","Valor ajustado de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","35","","Tipo de predicción por conjuntos","(véase la Tabla de cifrado 4.6)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","36","","Número de la perturbación","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","37","","Número de predicciones en el conjunto","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","38-39","","Año de la fecha de versión del modelo","(véase la nota 3)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","40","","Mes de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","41","","Día de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","42","","Hora de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","43","","Minuto de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","44","","Segundo de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","45-46","","Año del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","47","","Mes del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","48","","Día del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","49","","Hora del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","50","","Minuto del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","51","","Segundo del final del intervalo de tiempo completo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","52","","n - Número de las especificaciones que describen los intervalos de tiempo empleados para calcular el campo procesado estadísticamente","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","53-56","","Número total de valores de datos faltantes en el proceso estadístico","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","","","57-68  Especificación del intervalo de tiempo más remoto (o intervalo de tiempo único) abarcado por el procesamiento estadístico","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","57","","Proceso estadístico empleado para calcular el campo procesado a partir del campo en cada incremento de tiempo durante el intervalo temporal","(véase la Tabla de cifrado 4.10)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","58","","Tipo de incremento de tiempo entre los campos sucesivos empleado en el cálculo estadístico","(véase la Tabla de cifrado 4.11)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","59","","Indicador de la unidad de tiempo empleada para el intervalo de tiempo para el cual se hace el cálculo estadístico","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","60-63","","Duración del intervalo de tiempo durante el cual se realiza el cálculo estadístico, en unidades definidas por el octeto precedente","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","64","","Indicador de la unidad de tiempo empleada para el incremento de tiempo entre los campos sucesivos","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","65-68","","Incremento de tiempo entre los campos sucesivos, expresado en la unidad indicada por el octeto precedente (véanse las notas 4 y 5)","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","","","69-nn  Estos octetos figuran en el mensaje únicamente si n>1, donde nn = 56 + 12 x n","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","69-80","","Mismo contenido que el de los octetos 57 a 68, para la etapa siguiente del cálculo","","","","","Operational"
"Modelo de definición del producto 4.61 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","81-nn","","Especificaciones de los intervalos de tiempo suplementarios, incluidos en función del valor de n. El contenido es el mismo que el de los octetos 57 a 68, repetidos en caso necesario","","","","","Operational"
