Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,15-18,,NT - Número de pasos de tiempo,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,19,,Unidad de la diferencia con respecto a la hora de referencia,véase la Tabla de cifrado 4.4,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,20-23,,Diferencia de la primera hora con relación a la hora de referencia,valor negativo cuando se emplea 1 para el primer bit,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,24,,Tipo de incremento del tiempo,véase la Tabla de cifrado 4.11,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,25,,Unidad de incremento del tiempo,véase la Tabla de cifrado 4.4,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,26-29,,Incremento del tiempo,valor negativo cuando se emplea 1 para el primer bit,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,,,30-36 Última fecha/hora,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,30-31,,Año,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,32,,Mes,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,33,,Día,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,34,,Hora,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,35,,Minuto,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,36,,Segundo,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,37-38,,Número de puntos verticales,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,39,,Características física de la coordenada vertical,véase la Tabla de cifrado 3.15,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,40,,Definición de la coordenada en la dimensión vertical,véase la Tabla de cifrado 3.21,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,41-42,,NC - Número de coeficientes o valores utilizados para especificar coordenadas verticales,,,,,Experimental
Modelo de definición de la retícula 3.1200 — Retícula de sección de tiempo,43-(42+NCx4),,"Coeficientes que definen en forma de función los valores de la coordenada en la dimensión vertical, o los valores explícitos de las coordenadas",valor de coma flotante IEEE de 32 bits,,,,Experimental
