ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/82/10,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",10,1,Categoría de parámetro,(véase la Tabla de cifrado 4.1),,4.1,,Operational,Original
grib2/4/82/11,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",11,1,Número del parámetro,(véase la Tabla de cifrado 4.2),,4.2,,Operational,Original
grib2/4/82/12-13,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",12-13,2,Tipo de aerosol,(véase la Tabla de cifrado 4.233),,4.233,,Operational,Original
grib2/4/82/14,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",14,1,Fuentes o sumideros,(véase la Tabla de cifrado 4.238),,2.238,,Operational,Original
grib2/4/82/15,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",15,1,Tipo de intervalo para el primero y segundo tamaños,(véase la Tabla de cifrado 4.91),,4.91,,Operational,Original
grib2/4/82/16,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",16,1,Factor de escala del primer tamaño,,,,,Operational,Original
grib2/4/82/17-20,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",17-20,4,Valor ajustado del primer tamaño en metros,,,,,Operational,Original
grib2/4/82/21,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",21,1,Factor de escala del segundo tamaño,,,,,Operational,Original
grib2/4/82/22-25,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",22-25,4,Valor ajustado del segundo tamaño en metros,,,,,Operational,Original
grib2/4/82/26,"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",26,1,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,4.3,,Operational,Original
