Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Parámetros con particiones para una superficie o capa horizontal en un momento dado,10,,Categoría de parámetros,(véase la Tabla de cifrado 4.1),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,11,,Número de parámetros,(véase la Tabla de cifrado 4.2 y las notas 2 y 3),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,12,,Número de tabla de partición  (véanse las notas 1 y 3),(PTN),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,13,,Número de particiones,(NP),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,14-(14+2NP-1),,Conjunto de particiones,"(enumérense todos los números de particiones de la partición, Tabla de cifrado 4.PTN, véase la nota 1)",,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(14+2NP)-(15+2NP),,Número de la partición,(PN),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(16+2NP),,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(17+2NP),,Identificador del proceso de producción de base,(definido por el centro de origen),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(18+2NP),,Identificador del proceso de producción del análisis o de la previsión,(definido por el centro de origen),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(19+2NP)-(20+2NP),,Límite  de recogida de datos de observación después de la hora de referencia,(horas),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(21+2NP),,Límite  de recogida de datos de observación después de la hora de referencia,(minutos),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(22+2NP),,Indicador de la unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(23+2NP)-(26+2NP),,Hora de la previsión expresada en la unidad precisada por el octeto precedente,,,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(27+2NP),,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(28+2NP),,Factor de escala de la primera superficie especificada,,,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(29+2NP)-(32+2NP),,Valor ajustado de la primera superficie especificada,,,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(33+2NP),,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(34+2NP),,Factor de escala de la segunda superficie especificada,,,,,Operational
Parámetros con particiones para una superficie o capa horizontal en un momento dado,(35+2NP)-(38+2NP),,Valor ajustado de la segunda superficie especificada,,,,,Operational
