Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",12-13,,Tipo de componente químico atmosférico,(véase la Tabla de cifrado 4.230),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",14,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",15,,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",16,,Identificador del proceso de producción de la predicción (definido por el centro de origen),,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",17-18,,Límite (horas) de recogida de datos de observación después de la hora de referencia,(véase la nota 1),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",19,,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",20,,Indicador de la unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",21-24,,"Hora de predicción, en unidades definidas mediante el octeto 20",(véase la nota 2),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",25,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",26,,Factor de escala de la primera superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",27-30,,Valor a escala de la primera superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",31,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",32,,Factor de escala de la segunda superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",33-36,,Valor a escala de la segunda superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",37,,Tipo de predicción de conjunto,(véase la Tabla de cifrado 4.6),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",38,,Número de la perturbación,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",39,,Número de previsiones en el conjunto,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",40-41,,Año de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",42,,Mes de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",43,,Día de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",44,,Hora de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",45,,Minuto de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",46,,Segundo de finalización del intervalo temporal completo,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",47,,n - Número de especificaciones descriptivas de los intervalos de tiempo utilizados para calcular el campo procesado estadísticamente,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",48-51,,Número total de valores de datos faltantes en el proceso estadístico,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",,,52-63 Especificación del intervalo temporal más remoto (o único) abarcado por el procesamiento estadístico,,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",52,,Proceso estadístico utilizado para calcular el valor procesado del campo respecto de cada incremento de tiempo durante el intervalo temporal,(véase la Tabla de cifrado 4.10),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",53,,Tipo de incremento de tiempo entre los campos sucesivos utilizado en el procesamiento estadístico,(véase la Tabla de cifrado 4.11),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",54,,Indicador de la unidad de tiempo del intervalo temporal abarcado por el procesamiento estadístico,(véase la Tabla de cifrado 4.4),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",55-58,,"Duración del intervalo temporal abarcado por el procesamiento estadístico, en unidades definidas por el octeto anterior",,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",59,,Indicador de la unidad de tiempo utilizada para el incremento entre campos sucesivos,(véase la Tabla de cifrado 4.4),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",60-63,,"Incremento de tiempo entre los campos sucesivos, en unidades definidas por el octeto anterior",(véanse las notas 3 y 4),,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",,,"64-nn Estos octetos figurarán sólo si n>1, donde nn = 51 + 12 x n",,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",64-75,,"Mismo contenido que el de los octetos 52 a 63, para la etapa siguiente del procesamiento",,,,,Operational
"Predicción de conjunto individual, de control o perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos",76-nn,,"Especificaciones adicionales del intervalo temporal, incluidas en función del valor de n. El contenido es el mismo que el de los octetos 52 a 63, repetido en caso necesario.",,,,,Operational
