ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/138/10,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo.,10,1,Categoría del parámetro,((véase la Tabla de cifrado 4.1)),,4.1,,Operational,AI Engine
grib2/4/138/11,Repronósticos derivados basados en todos los miembros del conjunto a un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,11,1,Número del parámetro,((véase la Tabla de cifrado 4.2)),,4.2,,Operational,AI Engine
grib2/4/138/12,Repronósticos derivados basados en todos los miembros del conjunto a un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo.,12,1,Tipo de proceso de producción,((véase la Tabla de cifrado 4.3)),,4.3,,Operational,AI Engine
grib2/4/138/13,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,13,1,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational,AI Engine
grib2/4/138/14,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,14,1,Identificador del proceso de producción de la previsión (definido por el centro de origen),,,,,Operational,AI Engine
grib2/4/138/15-16,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,15-16,2,Límite (horas) de recogida de datos de observación después de la hora de referencia,((véase la nota 1)),33,,,Operational,AI Engine
grib2/4/138/17,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,17,1,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational,AI Engine
grib2/4/138/18,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,18,1,Indicador de la unidad del intervalo de tiempo,((véase la Tabla de cifrado 4.4)),,4.4,,Operational,AI Engine
grib2/4/138/19-22,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,19-22,4,Hora de la predicción expresada en la unidad precisada por el octeto 18,((véase la nota 2)),111,,,Operational,AI Engine
grib2/4/138/23,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,23,1,Tipo de la primera superficie especificada,((véase la Tabla de cifrado 4.5)),,4.5,,Operational,AI Engine
grib2/4/138/24,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,24,1,Factor de escala de la primera superficie especificada,,,,,Operational,AI Engine
grib2/4/138/25-28,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,25-28,4,Valor ajustado de la primera superficie especificada,,,,,Operational,AI Engine
grib2/4/138/29,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,29,1,Tipo de la segunda superficie especificada,((véase la Tabla de cifrado 4.5)),,4.5,,Operational,AI Engine
grib2/4/138/30,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,30,1,Factor de escala de la segunda superficie especificada,,,,,Operational,AI Engine
grib2/4/138/31-34,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,31-34,4,Valor ajustado de la segunda superficie especificada,,,,,Operational,AI Engine
grib2/4/138/35,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,35,1,Previsión derivada,(véase la Tabla de cifrado 4.7),,4.7,,Operational,AI Engine
grib2/4/138/36-39,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,36-39,4,Número de previsiones en el conjunto (N),,,,,Operational,AI Engine
grib2/4/138/40-41,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,40-41,2,Año de finalización de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/42,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,42,1,Mes de finalización de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/43,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,43,1,Día de finalización de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/44,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,44,1,Hora de finalización de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/45,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,45,1,Minuto de finalización de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/46,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,46,1,Segundo del final de la fecha de versión del modelo,,,,,Operational,AI Engine
grib2/4/138/47-48,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,47-48,2,Año del final del intervalo total de tiempo,,,,,Operational,AI Engine
grib2/4/138/49,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,49,1,Mes del final del intervalo total de tiempo,,,,,Operational,AI Engine
grib2/4/138/50,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,50,1,Día del final del intervalo total de tiempo,,,,,Operational,AI Engine
grib2/4/138/51,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,51,1,Hora del final del intervalo total de tiempo,,,,,Operational,AI Engine
grib2/4/138/52,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,52,1,Minuto del final del intervalo total de tiempo,,,,,Operational,AI Engine
grib2/4/138/53,Repronósticos derivados basados en todos los miembros del conjunto en un nivel horizontal o en una capa horizontal en un intervalo de tiempo continuo o no continuo,53,1,Segundo del final del intervalo total de tiempo,,,,,Operational,AI Engine
