Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",12,,Clasificación de la placa,(véase la Tabla de cifrado 4.242),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",13,,Número total (NT) de pares de placas/atributos,(véanse las notas 1 y 2),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",14,,Número de placas espaciales utilizadas (NUT),(véanse las notas 1 y 2),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",15,,"Índice de placas (ITN = {1,..., NUT})",(véase la nota 1),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",16,,Número de atributos de placa utilizados (NAT) para el ITN de las placas,(véase la nota 1),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",17,,"Atributo de placa (A = {A(1),..., A(NAT(ITN))})",(véase la nota 1),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",18,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",19,,Identificador de proceso de producción de base (definido por el centro de origen),,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",20,,Identificador de proceso de producción de análisis o predicciones (definido por el centro de origen),,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",21-22,,Límite (horas) de recogida de datos de observación después de la hora de referencia,(véase la nota 3),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",23,,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",24,,Indicador de unidad de lapso de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",25-28,,"Hora de predicción, en unidades definidas en el octeto 24",,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",29,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",30,,Factor de escala de la primera superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",31-34,,Valor ajustado de la primera superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",35,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",36,,Factor de escala de la segunda superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",37-40,,Valor ajustado de la primera superficie especificada,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",41,,Tipo de predicción por conjuntos,(véase la Tabla de cifrado 4.6),,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",42,,Número de la perturbación,,,,,Operational
"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado",43,,Número de predicciones en el conjunto,,,,,Operational
