ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/146/10,Puntajes de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un punto en el tiempo,10,1,Categoría del parámetro,((véase la Tabla de cifrado 4.1)),,4.1,,Operational,AI Engine
grib2/4/146/11,Puntuaciones de verificación para análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado.,11,1,Número del parámetro,((véase la Tabla de cifrado 4.2)),,4.2,,Operational,AI Engine
grib2/4/146/12,Puntuaciones de verificación para análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado.,12,1,Tipo de proceso de producción,((véase la Tabla de cifrado 4.3)),,4.3,,Operational,AI Engine
grib2/4/146/13,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,13,1,Proceso en segundo plano,,,,,Operational,AI Engine
grib2/4/146/14,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,14,1,Generando identificador de proceso,,,,,Operational,AI Engine
grib2/4/146/15-16,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,15-16,2,Horas después del corte de datos,,,,,Operational,AI Engine
grib2/4/146/17,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,17,1,Minutos después del corte de datos,,,,,Operational,AI Engine
grib2/4/146/18,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,18,1,Indicador de la unidad del intervalo de tiempo,((véase la Tabla de cifrado 4.4)),,4.4,,Operational,AI Engine
grib2/4/146/19-22,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,19-22,4,Hora de la predicción (indicar como faltante si se trata de un análisis),,,,,Operational,AI Engine
grib2/4/146/23,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,23,1,Tipo de la primera superficie especificada,((véase la Tabla de cifrado 4.5)),,4.5,,Operational,AI Engine
grib2/4/146/24,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,24,1,Factor de escala de la primera superficie especificada,,,,,Operational,AI Engine
grib2/4/146/25-28,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,25-28,4,Valor ajustado de la primera superficie especificada,,,,,Operational,AI Engine
grib2/4/146/29,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,29,1,Tipo de la segunda superficie especificada,((véase la Tabla de cifrado 4.5)),,4.5,,Operational,AI Engine
grib2/4/146/30,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,30,1,Factor de escala de la segunda superficie especificada,,,,,Operational,AI Engine
grib2/4/146/31-32,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,31-32,4,Valor ajustado de la segunda superficie especificada,,,,,Operational,AI Engine
grib2/4/146/35-36,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,35-36,2,Puntuación de verificación,(consulte la tabla de cifrado 4.120),,4.120,,Operational,AI Engine
grib2/4/146/37,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,37,1,Tipo de conjunto de datos de referencia para verificación,(consulte la tabla de cifrado 4.121),,4.121,,Operational,AI Engine
grib2/4/146/38,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,38,1,Tipo de procesamiento estadístico sobre vertical para verificación,((véase la Tabla de cifrado 4.10)),,4.10,,Operational,AI Engine
grib2/4/146/39,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,39,1,Tipo de operador de umbral para puntuación de verificación,((véase la Tabla de cifrado 4.91)),,4.91,,Operational,AI Engine
grib2/4/146/40,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,40,1,Tipo de argumentos adicionales para la puntuación de verificación,(ver tabla de cifrado 4.122),,4.122,,Operational,AI Engine
grib2/4/146/41,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,41,1,Número de argumentos adicionales para la verificación (NA),,,,,Operational,AI Engine
grib2/4/146//1,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado., , ,Las dos siguientes entradas se repiten NA veces na=0: NA - puede ser 0 veces si no se necesitan parámetros (na=0),,,,,Operational,AI Engine
grib2/4/146/42 + (na-1)*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,42 + (na-1)*5,1,Factor de escala de argumento adicional para verificación,,,,,Operational,AI Engine
grib2/4/146/(43 + (na-1)*5) - (46 + (na-1)*5),Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,(43 + (na-1)*5) - (46 + (na-1)*5),4,Valor escalado de argumento adicional para verificación,,,,,Operational,AI Engine
grib2/4/146//2,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado., , ,Fin de la secuencia repetida NA veces.,,,,,Operational,AI Engine
grib2/4/146/(42 + NA*5) - (43 + NA*5),Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,(42 + NA*5) - (43 + NA*5),2,Año de inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/44 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,44 + NA*5,1,Mes de inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/45 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,45 + NA*5,1,Día de inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/46 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,46 + NA*5,1,Hora de inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/47 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,47 + NA*5,1,Minuto de inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/48 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,48 + NA*5,1,Segundo del inicio del período de verificación,,,,,Operational,AI Engine
grib2/4/146/49 + NA*5,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,49 + NA*5,1,Número de rangos de tiempo del período de verificación (NV),,,,,Operational,AI Engine
grib2/4/146//3,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado., , ,Las siguientes cinco entradas se repiten NV veces nv=1:NV,,,,,Operational,AI Engine
grib2/4/146/50 + NA*5 + (nv-1)*11,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,50 + NA*5 + (nv-1)*11,1,Tipo de procesamiento estadístico para el rango de tiempo del período de verificación,((véase la Tabla de cifrado 4.10)),,4.10,,Operational,AI Engine
grib2/4/146/51 + NA*5 + (nv-1)*11,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,51 + NA*5 + (nv-1)*11,1,Indicador de unidad para el rango de tiempo del período de verificación,((véase la Tabla de cifrado 4.4)),,4.4,,Operational,AI Engine
grib2/4/146/(52 + NA*5 + (nv-1)*11) - (55 + NA*5 + (nv-1)*11),Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,(52 + NA*5 + (nv-1)*11) - (55 + NA*5 + (nv-1)*11),4,Duración del rango de tiempo para el período de verificación,,,,,Operational,AI Engine
grib2/4/146/56 + NA*5 + (nv-1)*11,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,56 + NA*5 + (nv-1)*11,1,Indicador de unidad para incremento de tiempo del período de verificación,((véase la Tabla de cifrado 4.4)),,4.4,,Operational,AI Engine
grib2/4/146/(57 + NA*5 + (nv-1)*11) - (60 + NA*5 + (nv-1)*11),Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,(57 + NA*5 + (nv-1)*11) - (60 + NA*5 + (nv-1)*11),4,Incremento de tiempo para el período de verificación,,,,,Operational,AI Engine
grib2/4/146//4,Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado., , ,Fin de la secuencia repetida NV veces,,,,,Operational,AI Engine
grib2/4/146/(61 + NA*5 + NV*11) - (62 + NA*5 + NV*11),Puntuaciones de verificación para análisis o pronóstico en un nivel horizontal o en una capa horizontal en un momento dado.,(61 + NA*5 + NV*11) - (62 + NA*5 + NV*11),2,Número de pronósticos en verificación,,,,,Operational,AI Engine
