Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,15,,Tipo de representación espectral,véase la Tabla de cifrado 3.6,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,16-19,,N parámetro de resolución mediante transformada bidimensional de Fourier,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,20-23,,M parámetro de resolución mediante transformada bidimensional de Fourier,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,24,,Tipo de truncamiento del dominio mediante transformada bidimensional de Fourier,véase la Tabla de cifrado 3.25,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,25-32,,Lx tamaño en metros del dominio a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,33-40,,Lux tamaño en metros del subdominio de la predicción de modelo a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,41-48,,Lcx anchura en metros del área de acoplamiento en el dominio de la predicción a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,49-56,,Ly tamaño en metros del dominio a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,57-64,,Luy tamaño en metros del subdominio de la predicción de modelo a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,65-72,,Lcy - anchura en metros del área de acoplamiento en el dominio de la predicción a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,73,,Forma de la Tierra,véase la Tabla de cifrado 3.2,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,74,,Factor de escala del radio de la Tierra esférica,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,75-78,,Valor ajustado del radio de la Tierra esférica,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,79,,Factor de escala del eje mayor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,80-83,,Valor ajustado del eje mayor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,84,,Factor de escala del eje menor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,85-88,,Valor ajustado del eje menor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,89-92,,La1 latitud del primer punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,93-96,,Lo1 longitud del primer punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,97-100,,LaD - latitud de intersección del cilindro de proyección de Mercator con la Tierra  para las cuales se especifican Di y Dj),es,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,101-104,,La2 latitud del último punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,105-108,,Lo2 longitud del último punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.61— Representación espectral mediante proyección Mercator con definición de los subdominios de modelización,109-112,,"Orientación de la retícula, ángulo entre la dirección i en el mapa y el ecuador",véase la nota 1,,,,Operational
