ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/3/10,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",10,,Categoría del parámetro,véase la Tabla de cifrado 4.1,,,,Operational,Original
grib2/4/3/11,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",11,,Número del parámetro,véase la Tabla de cifrado 4.2,,,,Operational,Original
grib2/4/3/12,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",12,,Tipo de proceso de producción,véase la Tabla de cifrado 4.3,,,,Operational,Original
grib2/4/3/13,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",13,,Identificador del proceso de producción de base,definido por el centro de origen,,,,Operational,Original
grib2/4/3/14,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",14,,Identificador del proceso de producción de la previsión,definido por el centro de origen,,,,Operational,Original
grib2/4/3/15-16,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",15-16,,Límite de recogida de datos de observación después de la hora de referencia,horas; véase la nota,,,,Operational,Original
grib2/4/3/17,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",17,,Límite de recogida de datos de observación después de la hora de referencia,minutos,,,,Operational,Original
grib2/4/3/18,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",18,,Indicador de la unidad del intervalo de tiempo,véase la Tabla de cifrado 4.4,,,,Operational,Original
grib2/4/3/19-22,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",19-22,,Hora de la previsión expresada en la unidad precisada por el octeto 18,,,,,Operational,Original
grib2/4/3/23,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",23,,Tipo de la primera superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational,Original
grib2/4/3/24,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",24,,Factor de escala de la primera superficie especificada,,,,,Operational,Original
grib2/4/3/25-28,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",25-28,,Valor ajustado de la primera superficie especificada,,,,,Operational,Original
grib2/4/3/29,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",29,,Tipo de la segunda superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational,Original
grib2/4/3/30,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",30,,Factor de escala de la segunda superficie especificada,,,,,Operational,Original
grib2/4/3/31-34,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",31-34,,Valor ajustado de la segunda superficie especificada,,,,,Operational,Original
grib2/4/3/35,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",35,,Previsión derivada,véase la Tabla de cifrado 4.7,,,,Operational,Original
grib2/4/3/36,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",36,,Número de previsiones en el conjunto,N,,,,Operational,Original
grib2/4/3/37,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",37,,Indicador de grupo,,,,,Operational,Original
grib2/4/3/38,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",38,,Número del grupo al que pertenece el comando de alta resolución,,,,,Operational,Original
grib2/4/3/39,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",39,,Número del grupo al que pertenece el comando de baja resolución,,,,,Operational,Original
grib2/4/3/40,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",40,,Número total de grupos,,,,,Operational,Original
grib2/4/3/41,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",41,,Método de agrupación,véase la Tabla de cifrado 4.8,,,,Operational,Original
grib2/4/3/42-45,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",42-45,,Latitud norte del dominio del grupo,,,,,Operational,Original
grib2/4/3/46-49,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",46-49,,Latitud sur del dominio del grupo,,,,,Operational,Original
grib2/4/3/50-53,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",50-53,,Longitud este del dominio del grupo,,,,,Operational,Original
grib2/4/3/54-57,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",54-57,,Longitud oeste del dominio del grupo,,,,,Operational,Original
grib2/4/3/58,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",58,,Nc - Número de previsiones en el grupo,,,,,Operational,Original
grib2/4/3/59,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",59,,Factor de escala de desviación estándar en el grupo,,,,,Operational,Original
grib2/4/3/60-63,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",60-63,,Valor ajustado de desviación estándar en el grupo,,,,,Operational,Original
grib2/4/3/64,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",64,,Factor de escala de distancia del grupo desde la media del conjunto,,,,,Operational,Original
grib2/4/3/65-68,"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",65-68,,Valor ajustado de distancia del grupo desde la media del conjunto,,,,,Operational,Original
grib2/4/3/69-(68+Nc),"Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona rectangular, para una superficie o una capa horizontal, en un momento dado",69-(68+Nc),,Lista de números de previsión del conjunto Nc,Nc está expresado en el octeto 58,,,,Operational,Original
