ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/35/10,Producto satelital con o sin valores de calidad asociados,10,1,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,4.1,,Operational,Original
grib2/4/35/11,Producto satelital con o sin valores de calidad asociados,11,1,Número del parámetro,(véase la Tabla de cifrado 4.2),,4.2,,Operational,Original
grib2/4/35/12,Producto satelital con o sin valores de calidad asociados,12,1,Tipo de proceso de generación,(véase la Tabla de cifrado 4.3),,4.3,,Operational,Original
grib2/4/35/13,Producto satelital con o sin valores de calidad asociados,13,1,Identificador del proceso de generación de la observación (definido por los centros de origen),,,,,Operational,Original
grib2/4/35/14,Producto satelital con o sin valores de calidad asociados,14,1,Valor de calidad asociado al parámetro,(véase la Tabla de cifrado 4.16),,4.16,,Operational,Original
grib2/4/35/15,Producto satelital con o sin valores de calidad asociados,15,1,Número de bandas espectrales tomadas en consideración (NB),,,,,Operational,Original
grib2/4/35//1,Producto satelital con o sin valores de calidad asociados,,,"16-Repítanse los 11 octetos siguientes para cada una de las bandas tomadas en consideración (nb = 1, NB)",,,,,Operational,Original
grib2/4/35/(16+11(nb-1))-(17+11(nb-1)),Producto satelital con o sin valores de calidad asociados,(16+11(nb-1))-(17+11(nb-1)),,Serie de los satélites de la banda nb (tabla de cifrado establecida por el centro de origen/generación),(véase la nota),,,,Operational,Original
grib2/4/35/(18+11(nb-1))-(19+11(nb-1)),Producto satelital con o sin valores de calidad asociados,(18+11(nb-1))-(19+11(nb-1)),,Números de los satélites de la banda nb (tabla de cifrado establecida por el centro de origen/generación),(véase la nota),,,,Operational,Original
grib2/4/35/(20+11(nb-1))-(21+11(nb-1)),Producto satelital con o sin valores de calidad asociados,(20+11(nb-1))-(21+11(nb-1)),,Tipos de instrumento de la banda nb (tabla de cifrado establecida por el centro de origen/generación),(véase la nota),,,,Operational,Original
grib2/4/35/(22+11(nb-1)),Producto satelital con o sin valores de calidad asociados,(22+11(nb-1)),,Factor de escala del número de onda central de la banda nb,,,,,Operational,Original
grib2/4/35/(23+11(nb-1))-(26+11(nb-1)),Producto satelital con o sin valores de calidad asociados,(23+11(nb-1))-(26+11(nb-1)),,Valor ajustado del número de onda central de la banda nb (unidades:m¯¹),,,,,Operational,Original
