"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","10","","Categoría de parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","12-13","","Tipo de aerosol","(véase la Tabla de cifrado 4.233)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","14","","Fuentes o sumideros","(véase la Tabla de cifrado 4.238)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","15","","Tipo de intervalo para el primero y segundo tamaños","(véase la Tabla de cifrado 4.91)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","16","","Factor de escala del primer tamaño","","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","17-20","","Valor ajustado del primer tamaño en metros","","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","21","","Factor de escala del segundo tamaño","","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","22-25","","Valor ajustado del segundo tamaño en metros","","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","26","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.82 - Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal, durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero","27","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
