"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","12-13","","Tipo de aerosol","(véase la Tabla de cifrado común C-14)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","14","","Tipo de intervalo para el primer y segundo tamaños","(véase la Tabla de cifrado 4.91)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","15","","Factor de escala del primer tamaño","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","16-19","","Valor ajustado del primer tamaño, en metros","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","20","","Factor de escala del segundo tamaño","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","21-24","","Valor ajustado del segundo tamaño, en metros","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","25","","Tipo de intervalo para la primera y segunda longitud de onda","(véase la Tabla de cifrado 4.91)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","26","","Factor de escala de la primera longitud de onda","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","27-30","","Valor ajustado de la primera longitud de onda, en metros","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","31","","Factor de escala de la segunda longitud de onda","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","32-35","","Valor ajustado de la segunda longitud de onda, en metros","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","36","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","37","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","38","","Identificador del proceso de producción de análisis o predicciones (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","39-40","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","41","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","42","","Indicador de unidad de lapso de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","43-46","","Hora de predicción, en unidades definidas en el octeto 42","","","","","Operational"
"Modelo de definición del producto 4.49 — Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado","47","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
