ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/2/12-21,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",12-21,10,Idéntico al Modelo de representación de los datos 5.0,,,,,Operational,PDF
grib2/5/2/22,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",22,1,Método de separación en grupos,(véase la Tabla de cifrado 5.4),,5.4,,Operational,PDF
grib2/5/2/23,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",23,1,Tratamiento de los valores faltantes,(véase la Tabla de cifrado 5.5),,5.5,,Operational,PDF
grib2/5/2/24-27,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",24-27,4,Sustitución de los valores faltantes primarios,,,,,Operational,PDF
grib2/5/2/28-31,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",28-31,4,Sustitución de los valores faltantes secundarios,,,,,Operational,PDF
grib2/5/2/32-35,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",32-35,4,NG - número de grupos en los que se reparten los valores del campo subdivido,,,,,Operational,PDF
grib2/5/2/36,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",36,1,Referencia para las anchuras de grupo,(véase la nota 12),,,,Operational,PDF
grib2/5/2/37,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",37,1,Número de bits utilizados para las anchuras de los grupos (cuando se ha suprimido el valor de referencia del octeto 36),,,,,Operational,PDF
grib2/5/2/38-41,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",38-41,4,Referencia para las longitudes de los grupos,(véase la nota 13),,,,Operational,PDF
grib2/5/2/42,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",42,1,Incremento utilizado para las longitudes de los grupos,(véase la nota 14),,,,Operational,PDF
grib2/5/2/43-46,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",43-46,4,Longitud verdadera del último grupo,,,,,Operational,PDF
grib2/5/2/47,"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",47,1,Número de bits utilizados para indicar las longitudes ajustadas de los grupos (después de restar el valor de referencia indicado por los octetos 38-41 y división por el incremento de longitud indicado por el octeto 42),,,,,Operational,PDF
