ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/1100/15,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,15,1,Forma de la Tierra,véase la Tabla de cifrado 3.2,,3.2,,Experimental,PDF
grib2/3/1100/16,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,16,1,Factor de escala del radio de la Tierra esférica,,,,,Experimental,PDF
grib2/3/1100/17-20,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,17-20,4,Valor ajustado del radio de la Tierra esférica,,,,,Experimental,PDF
grib2/3/1100/21,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,21,1,Factor de escala del eje mayor de la Tierra esferoidal achatada,,,,,Experimental,PDF
grib2/3/1100/22-25,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,22-25,4,Valor ajustado del eje mayor de la Tierra esferoidal achatada,,,,,Experimental,PDF
grib2/3/1100/26,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,26,1,Factor de escala del eje menor de la Tierra esferoidal achatada,,,,,Experimental,PDF
grib2/3/1100/27-30,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,27-30,4,Valor ajustado del eje menor de la Tierra esferoidal achatada,,,,,Experimental,PDF
grib2/3/1100/31-34,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,31-34,4,Número de puntos horizontales,,,,,Experimental,PDF
grib2/3/1100/35-38,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,35-38,4,Ángulo de base del campo de producción inicial,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/39-42,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,39-42,4,Subdivisiones del ángulo de base empleado para definir las longitudes y latitudes extremas,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/43-46,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,43-46,4,La1 - latitud del primer punto de la retícula,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/47-50,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,47-50,4,Lo1 - longitud del primer punto de la retícula,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/51,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,51,1,Modo de exploración,banderines - véase la Tabla de banderines 3.4,,,3.4,Experimental,PDF
grib2/3/1100/52-55,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,52-55,4,La2 - latitud del último punto de la retícula,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/56-59,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,56-59,4,Lo2 - longitud del último punto de la retícula,véase la nota 1,,,,Experimental,PDF
grib2/3/1100/60,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,60,1,Tipo de línea horizontal,véase la Tabla de cifrado 3.20,,3.20,,Experimental,PDF
grib2/3/1100/61-64,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,61-64,4,NT - Número de pasos de tiempo,,,,,Experimental,PDF
grib2/3/1100/65,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,65,1,Unidad de la diferencia con respecto a la hora de referencia,véase la Tabla de cifrado 4.4,,,,Experimental,PDF
grib2/3/1100/66-69,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,66-69,4,Diferencia de la primera hora con relación a la hora de referencia (valor negativo cuando se emplea 1 para el primer bit),,,,,Experimental,PDF
grib2/3/1100/70,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,70,1,Tipo de incremento de tiempo,véase la Tabla de cifrado 4.11,,,,Experimental,PDF
grib2/3/1100/71,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,71,1,Unidad de incremento del tiempo,véase la Tabla de cifrado 4.4,,,,Experimental,PDF
grib2/3/1100/72-75,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,72-75,4,Incremento del tiempo (valor negativo cuando se emplea 1 para el primer bit),,,,,Experimental,PDF
grib2/3/1100//1,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,,,76-82 Última fecha/hora,,,,,Experimental,PDF
grib2/3/1100/76-77,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,76-77,2,Año,,,,,Experimental,PDF
grib2/3/1100/78,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,78,1,Mes,,,,,Experimental,PDF
grib2/3/1100/79,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,79,1,Día,,,,,Experimental,PDF
grib2/3/1100/80,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,80,1,Hora,,,,,Experimental,PDF
grib2/3/1100/81,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,81,1,Minuto,,,,,Experimental,PDF
grib2/3/1100/82,Modelo de definición de la retícula 3.1100 — Retícula de diagrama de Hovmöller con puntos equidistantes en el eje horizontal,82,1,Segundo,,,,,Experimental,PDF
