"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","12","","Tipo del proceso de generación","(véase la Tabla de cifrado 4.3)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","13","","Identificador del proceso de generación de base (definido por el centro de origen)","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","14","","Identificador del proceso de generación del análisis o de la predicción (definido por el centro de origen)","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","15-16","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota 1)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","17","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","18","","Indicador de la unidad de intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","19-22","","Hora de la predicción expresada en la unidad precisada por el octeto 18","(véase la nota 2)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","23","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","24","","Factor de escala de la primera superficie especificada","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","25-28","","Valor ajustado de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","29","","Tipo de la segunda superficie especificada","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","30","","Factor de escala de la segunda superficie especificada","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","31-34","","Valor ajustado de la segunda superficie especificada","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","35-38","","Número total de los valores faltantes en el cálculo estadístico","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","39","","Cálculo estadístico que permitió obtener el campo elaborado a partir del campo para cada incremento de tiempo durante el intervalo de tiempo","(véase la Tabla de cifrado 4.10)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","40","","Tipo de incremento de tiempo entre los campos sucesivos empleado para el cálculo estadístico","(véase la Tabla de cifrado 4.11)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","41","","Indicador de la unidad de tiempo empleada para el intervalo de tiempo al que se refiere el cálculo estadístico","(véase la Tabla de cifrado 4.4)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","42-45","","Duración del intervalo de tiempo al que se refiere el cálculo estadístico, expresada en la unidad indicada por el octeto precedente","","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","46","","Indicador de la unidad de tiempo empleada para el incremento de tiempo entre los campos sucesivos","(véase la Tabla de cifrado 4.4)","","","","Experimental"
"Modelo de definición del producto 4.1101 Retícula tipo Hovmöller con promediación u otro cálculo estadístico","47-50","","Incremento de tiempo entre los campos sucesivos, expresado en la unidad indicada por el octeto precedente","(véase la nota 3)","","","","Experimental"
