ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/110/15,Proyección ecuatorial azimutal equidistante,15,1,Forma de la Tierra,véase la Tabla de cifrado 3.2,,3.2,,Operational,PDF
grib2/3/110/16,Proyección ecuatorial azimutal equidistante,16,1,Factor de escala del radio de la Tierra esférica,,,,,Operational,PDF
grib2/3/110/17-20,Proyección ecuatorial azimutal equidistante,17-20,4,Valor ajustado del radio de la Tierra esférica,,,,,Operational,PDF
grib2/3/110/21,Proyección ecuatorial azimutal equidistante,21,1,Factor de escala del eje mayor de la Tierra esferoidal achatada,,,,,Operational,PDF
grib2/3/110/22-25,Proyección ecuatorial azimutal equidistante,22-25,4,Valor ajustado del eje mayor de la Tierra esferoidal achatada,,,,,Operational,PDF
grib2/3/110/26,Proyección ecuatorial azimutal equidistante,26,1,Factor de escala del eje menor de la Tierra esferoidal achatada,,,,,Operational,PDF
grib2/3/110/27-30,Proyección ecuatorial azimutal equidistante,27-30,4,Valor ajustado del eje menor de la Tierra esferoidal achatada,,,,,Operational,PDF
grib2/3/110/31-34,Proyección ecuatorial azimutal equidistante,31-34,4,Nx - número de puntos a lo largo del eje x,,,,,Operational,PDF
grib2/3/110/35-38,Proyección ecuatorial azimutal equidistante,35-38,4,Ny - número de puntos a lo largo del eje y,,,,,Operational,PDF
grib2/3/110/39-42,Proyección ecuatorial azimutal equidistante,39-42,4,La1 - latitud del punto de tangencia (centro de la retícula),,,,,Operational,PDF
grib2/3/110/43-46,Proyección ecuatorial azimutal equidistante,43-46,4,Lo1 - longitud del punto de tangencia,,,,,Operational,PDF
grib2/3/110/47,Proyección ecuatorial azimutal equidistante,47,1,Banderines de resolución y de componentes,véase la Tabla de banderines 3.3,,,3.3,Operational,PDF
grib2/3/110/48-51,Proyección ecuatorial azimutal equidistante,48-51,4,"Dx - longitud de la retícula en la dirección x, expresada en 10-3 m, medida en el origen del eje",,,,,Operational,PDF
grib2/3/110/52-55,Proyección ecuatorial azimutal equidistante,52-55,4,"Dy - longitud de la retícula en la dirección y, expresada en 10-3 m, medida en el origen del eje",,,,,Operational,PDF
grib2/3/110/56,Proyección ecuatorial azimutal equidistante,56,1,Centro de la proyección,,,,,Operational,PDF
grib2/3/110/57,Proyección ecuatorial azimutal equidistante,57,1,Modo de exploración,véase la Tabla de banderines 3.4,,,3.4,Operational,PDF
