ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/68/10,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",10,1,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,4.1,,Operational,PDF
grib2/4/68/11,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",11,1,Número del parámetro,(véase la Tabla de cifrado 4.2),,4.2,,Operational,PDF
grib2/4/68/12-13,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",12-13,2,Tipo de componente químico atmosférico,(véase la Tabla de cifrado 4.230),,4.230,,Operational,PDF
grib2/4/68/14-15,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",14-15,2,Número de modos (N) de distribución,(véase la nota 1),36,,,Operational,PDF
grib2/4/68/16-17,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",16-17,2,Número de modo (I),,,,,Operational,PDF
grib2/4/68/18-19,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",18-19,2,Tipo de función de distribución,(véase la Tabla de cifrado 4.240 y la nota 2),19,4.240,,Operational,PDF
grib2/4/68/20,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",20,1,"Número de los siguientes parámetros de función (Np), definido por el tipo indicado en los octetos 18 y 19 (tipo de función de distribución)",,,,,Operational,PDF
grib2/4/68//1,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",,,"Repítanse los cinco octetos siguientes para cada uno de los parámetros de función (n = 1, Np), si Np > 0",,,,,Operational,PDF
grib2/4/68/21+5(n-1),"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",21+5(n-1),,"Lista del factor de escala del parámetro de la función de distribución fijo (p1-pNp), definido por el tipo de distribución indicada en los octetos 18 y 19",,,,,Operational,PDF
grib2/4/68/(22+5(n-1))-(25+5(n-1)),"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",(22+5(n-1))-(25+5(n-1)),,"Lista del factor ajustado del parámetro de la función de distribución fijo (p1-pNp), definido por el tipo de distribución indicada en los octetos 18 y 19",,,,,Operational,PDF
grib2/4/68/21+5Np,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",21+5Np,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,4.3,,Operational,PDF
grib2/4/68/22+5Np,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",22+5Np,,Identificador de proceso de producción de base (definido por el centro de origen),,,,,Operational,PDF
grib2/4/68/23+5Np,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",23+5Np,,Identificador de proceso de producción de análisis o predicciones (definido por el centro de origen),,,,,Operational,PDF
grib2/4/68/(24+5Np)-(25+5Np),"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",(24+5Np)-(25+5Np),,Límite (horas) de la recogida de datos de observación después de la hora de referencia,(véase la nota 3),33,,,Operational,PDF
grib2/4/68/26+5Np,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",26+5Np,,Límite (minutos) de la recogida de datos de observación después de la hora de referencia,,,,,Operational,PDF
grib2/4/68/27+5Np,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",27+5Np,,Indicador de unidad de lapso de tiempo,(véase la Tabla de cifrado 4.4),,4.4,,Operational,PDF
grib2/4/68/(28+5Np)-(31+5Np),"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, respecto de componentes químicos atmosféricos sobre la base de una función de distribución",(28+5Np)-(31+5Np),,Hora de predicción en unidades definidas en el octeto anterior,(véase la nota 4),111,,,Operational,PDF
