"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","12-13","","Identificador del proceso de entrada","(véase la nota 1)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","14-15","","Centro de origen de entrada (véanse la Tabla de cifrado común C-11 y la nota 2)","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","16","","Tipo de procesamiento posterior","(véase la nota 3)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","17","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","18","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","19","","Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","20-21","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota 4)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","22","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","23","","Indicador de la unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","24-27","","Hora de la predicción expresada en la unidad definida por el octeto 23","(véase la nota 5)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","28","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","29","","Factor de escala de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","30-33","","Valor ajustado de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","34","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","35","","Factor de escala de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","36-39","","Valor ajustado de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","40-41","","Año","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","42","","Mes","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","43","","Día","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","44","","Hora","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","45","","Minuto","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","46","","Segundo","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","47","","n - Número de las especificaciones para los intervalos de tiempo que describen los intervalos de tiempo utilizados para calcular el campo estadísticamente procesado","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","48-51","","Número total de los valores de los datos faltantes en el proceso estadístico","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","","","52-63  Especificación del intervalo de tiempo más remoto (o intervalo de tiempo único) para el que se hacen cálculos estadísticos","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","52","","Proceso estadístico utilizado para calcular el campo procesado a partir del campo, en cada incremento de tiempo, durante el período temporal","(véase la Tabla de cifrado 4.10)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","53","","Tipo de incremento de tiempo entre los campos sucesivos empleado para el cálculo estadístico","(véase la Tabla de cifrado 4.11)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","54","","Indicador de la unidad de tiempo empleada para el intervalo temporal para el cual se hace el cálculo estadístico","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","55-58","","Duración del intervalo temporal durante el cual se realiza el cálculo estadístico, en unidades definidas por el octeto precedente","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","59","","Indicador de la unidad de tiempo empleada para el incremento de tiempo entre los campos sucesivos","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","60-63","","Incremento de tiempo entre los campos sucesivos, expresado en la unidad indicada por el octeto precedente (véanse las notas 6 y 7)","","","","","Operational"
"Modelo de definición del producto 4.72 — Procesamiento posterior de los valores medios, acumulados o extremos o de otros valores obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un período de tiempo continuo o no","","","64-nn Estos octetos figuran en el mensaje únicamente si n > 1, donde nn = 51 + 12 x n","","","","","Operational"
