"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","10","","Categoría de parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","12","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","14","","Identificador del proceso de producción de la previsión (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","15-16","","Límite (horas) de recogida de datos después de la hora de referencia","(véase la nota 1)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","17","","Límite (minutos) de recogida de datos después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","18","","Indicador de la unidad de lapso de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","19-22","","Hora de la predicción expresada en la unidad definida por el octeto 18","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","23","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","24","","Factor de escala de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","25-28","","Valor ajustado de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","29","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","30","","Factor de escala de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","31-34","","Valor ajustado de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","35-36","","Número total de cuantiles q","","","","","Operational"
"Modelo de definición del producto 4.86 — Predicciones de cuantiles en una superficie o capa horizontal en un momento dado","37-38","","Valor del cuantil (entre 0 y q)","","","","","Operational"
