Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",12-21,,Idéntico al Modelo de representación de los datos 5.0,,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",22,,Método de separación en grupos,(véase la Tabla de cifrado 5.4),,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",23,,Tratamiento de los valores faltantes,(véase la Tabla de cifrado 5.5),,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",24-27,,Sustitución de los valores faltantes primarios,,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",28-31,,Sustitución de los valores faltantes secundarios,,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",32-35,,NG - número de grupos en los que se reparten los valores del campo subdivido,,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",36,,Referencia para las anchuras de grupo,(véase la nota 12),,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",37,,Número de bits utilizados para las anchuras de los grupos (cuando se ha suprimido el valor de referencia del octeto 36),,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",38-41,,Referencia para las longitudes de los grupos,(véase la nota 13),,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",42,,Incremento utilizado para las longitudes de los grupos,(véase la nota 14),,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",43-46,,Longitud verdadera del último grupo,,,,,Operational
"Modelo de representación de los datos 5.2 – Datos en los puntos de la retícula, empaquetado complejo",47,,Número de bits utilizados para indicar las longitudes ajustadas de los grupos (después de restar el valor de referencia indicado por los octetos 38-41 y división por el incremento de longitud indicado por el octeto 42),,,,,Operational
