"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","12","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","14","","Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","15-16","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota 1)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","17","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","18","","Indicador de la unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","19-22","","Hora de la predicción expresada en la unidad precisada por el octeto 18","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","23","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","24","","Factor de escala de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","25-28","","Valor ajustado de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","29","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","30","","Factor de escala de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","31-34","","Valor ajustado de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","35","","Tipo de predicción por conjuntos","(véase la Tabla de cifrado 4.6)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","36","","Número de la perturbación","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","37","","Número de predicciones en el conjunto","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","38-39","","Año de la fecha de versión del modelo","(véase la nota 2)","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","40","","Mes de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","41","","Día de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","42","","Hora de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","43","","Minuto de la fecha de versión del modelo","","","","","Operational"
"Modelo de definición del producto 4.60 – Repredicción de conjunto individual, de control o perturbada, para una superficie o capa horizontal en un momento dado","44","","Segundo de la fecha de versión del modelo","","","","","Operational"
