ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/70/10,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational,Original
grib2/4/70/11,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational,Original
grib2/4/70/12-13,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,12-13,,Identificador del proceso de entrada,(véase la nota 1),,,,Operational,Original
grib2/4/70/14-15,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,14-15,,Centro de origen de entrada,(véase la Tabla de cifrado común C-11 y la nota 2),,,,Operational,Original
grib2/4/70/16,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,16,,Tipo de procesamiento posterior,(véase la nota 3),,,,Operational,Original
grib2/4/70/17,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,17,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational,Original
grib2/4/70/18,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,18,,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational,Original
grib2/4/70/19,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,19,,Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen),,,,,Operational,Original
grib2/4/70/20-21,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,20-21,,Límite (horas) de recogida de datos de observación después de la hora de referencia,(véase la nota 4),,,,Operational,Original
grib2/4/70/22,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,22,,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational,Original
grib2/4/70/23,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,23,,Indicador de la unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational,Original
grib2/4/70/24-27,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,24-27,,Hora de la predicción expresada en la unidad precisada por el octeto 23,,,,,Operational,Original
grib2/4/70/28,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,28,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational,Original
grib2/4/70/29,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,29,,Factor de escala de la primera superficie especificada,,,,,Operational,Original
grib2/4/70/30-33,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,30-33,,Valor ajustado de la primera superficie especificada,,,,,Operational,Original
grib2/4/70/34,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,34,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational,Original
grib2/4/70/35,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,35,,Factor de escala de la segunda superficie especificada,,,,,Operational,Original
grib2/4/70/36-39,Modelo de definición del producto 4.70 – Análisis o previsión de procesamiento posterior para una superficie o capa horizontal en un momento dado,36-39,,Valor ajustado de la segunda superficie especificada,,,,,Operational,Original
