Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,15,,Tipo de representación espectral de datos,véase la Tabla de cifrado 3.6,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,16-19,,N parámetro de resolución mediante transformada bidimensional de Fourier,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,20-23,,M parámetro de resolución mediante transformada bidimensional de Fourier,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,24,,Tipo de truncamiento del dominio mediante transformada bidimensional de Fourier,véase la Tabla de cifrado 3.25,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,25-32,,Lx tamaño en metros del dominio a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,33-40,,Lux tamaño en metros del subdominio de la predicción de modelo a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,41-48,,Lcx anchura en metros del área de acoplamiento en el dominio de la predicción a lo largo del eje x,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,49-56,,Ly tamaño en metros del dominio a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,57-64,,Luy tamaño en metros del subdominio de la predicción de modelo a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,65-72,,Lcy anchura en metros del área de acoplamiento en el dominio de la predicción a lo largo del eje y,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,73,,Forma de la Tierra,véase la Tabla de cifrado 3.2,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,74,,Factor de escala del radio de la Tierra esférica,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,75-78,,Valor ajustado del radio de la Tierra esférica,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,79,,Factor de escala del eje mayor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,80-83,,Valor ajustado del eje mayor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,84,,Factor de escala del eje menor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,85-88,,Valor ajustado del eje menor de la Tierra esferoidal achatada,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,89-92,,La1 latitud del primer punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,93-96,,Lo1 longitud del primer punto de la retícula,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,97-100,,LaD latitud en la que Dx y Dy están especificados,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,101-104,,LoV longitud del meridiano paralelo al eje y a lo largo del cual la latitud aumenta a medida que crece el valor de la coordenada y,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,105,,Centro de la proyección,véase la Tabla de banderines 3.5,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,106-109,,Cuadrado latino 1 primera latitud a partir del polo en la cual el cono secante corta la esfera,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,110-113,,Cuadrado latino 2 segunda latitud a partir del polo en la cual el cono secante corta la esfera,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,114-117,,Latitud del polo sur de la proyección,,,,,Operational
Modelo de definición de la retícula 3.63 — Representación espectral mediante proyección conforme de Lambert con definición de los subdominios de modelización,118-121,,Longitud del polo sur de la proyección,,,,,Operational
