"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","10","","Categoría de parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","12","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","14","","Identificador del proceso de producción del análisis o la predicción (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","15","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","16","","Factor de escala de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","17-20","","Valor ajustado de la primera superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","21","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","22","","Factor de escala de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","23-26","","Valor ajustado de la segunda superficie especificada","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","27","","Método utilizado para obtener los valores de los campos de datos a la hora local especificada en la sección 1","(véase la Tabla de cifrado 4.248)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","28","","n - Número de análisis o predicción utilizado para crear el campo de datos compuesto a la hora local especificada en la sección 1 (n>=1)","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","","","Octetos 29-46  Especificación del análisis o la predicción utilizados en el cálculo (n=1)","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","29-30","","Año del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","31","","Mes del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","32","","Día del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","33","","Hora del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","34","","Minutos del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","35","","Segundos del análisis o la predicción utilizados en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","36","","Indicador de las unidades de tiempo de la predicción","(véase la Tabla de cifrado 4.4, indicar como faltante si se trata de un análisis)","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","37-40","","Hora de la predicción (indicar como faltante si se trata de un análisis)","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","41","","Número de incrementos de tiempo de la predicción utilizada en el cálculo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","42","","Indicador de las unidades de tiempo de los incrementos de tiempo","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","43-46","","Incrementos de tiempo entre horas de predicción sucesivas","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","","","47-nn Los octetos 47-nn se incluyen únicamente si n>1, donde nn=28+18*n","","","","","Operational"
"Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local","47-nn","","(n-1) repeticiones de secuencia del octeto 29-46 que describe el próximo análisis o predicción utilizados en el cálculo","","","","","Operational"
