Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",12,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",13,,Identificador del proceso de producción de base,(definido por el centro de origen),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",14,,Identificador del proceso de producción de la previsión,(definido por el centro de origen),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",15-16,,Límite  de recogida de datos de observación después de la hora de referencia,(horas),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",17,,Límite  de recogida de datos de observación después de la hora de referencia,(minutos),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",18,,Indicador de la unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",19-22,,Hora de la previsión expresada en la unidad precisada por el octeto 18,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",23,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",24,,Factor de escala de la primera superficie especificada,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",25-28,,Valor ajustado de la primera superficie especificada,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",29,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",30,,Factor de escala de la segunda superficie especificada,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",31-34,,Valor ajustado de la segunda superficie especificada,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",35,,Tipo de previsión por conjuntos,(véase la Tabla de cifrado 4.6),,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",36,,Número de la perturbación,,,,,Operational
"4.1 – Previsión de conjunto tomada por separado, de control o ""perturbada"", para una superficie o una capa horizontal, en un momento dado",37,,Número de previsiones en el conjunto,,,,,Operational
