ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translation_source
grib2/4/2/20/0/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",0,,Índice universal de clima térmico,,,K,Operational,AI Engine
grib2/4/2/20/0/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",1,,Temperatura radiante media,,,K,Operational,AI Engine
grib2/4/2/20/0/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",2,,Temperatura de globo húmedo.,((véase la nota 1)),53,K,Operational,AI Engine
grib2/4/2/20/0/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",3,,Temperatura de globo,,,K,Operational,AI Engine
grib2/4/2/20/0/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",4,,Humidex,,,K,Operational,AI Engine
grib2/4/2/20/0/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",5,,Temperatura efectiva,,,K,Operational,AI Engine
grib2/4/2/20/0/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",6,,Temperatura efectiva normal,,,K,Operational,AI Engine
grib2/4/2/20/0/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",7,,Temperatura efectiva estándar,,,K,Operational,AI Engine
grib2/4/2/20/0/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",8,,Temperatura equivalente fisiológica,,,K,Operational,AI Engine
grib2/4/2/20/0/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",9,,Dosis biológicamente efectiva de UV,,,W m-2,Operational,AI Engine
grib2/4/2/20/0/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",10,,"Dosis biológicamente efectiva de UV, cielo despejado",,,W m-2,Operational,AI Engine
grib2/4/2/20/0/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",11,,Factor de calor excesivo,,,K2,Operational,AI Engine
grib2/4/2/20/0/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",12,,Factor de exceso de frío,,,K2,Operational,AI Engine
grib2/4/2/20/0/13-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",13-191,,Reservadas,,,,Operational,AI Engine
grib2/4/2/20/0/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",192-254,,Reservadas para uso local,,,,Operational,AI Engine
grib2/4/2/20/0/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 20 - Impactos de salud y socioeconómicos, categoría de parámetro 0: indicadores de salud",255,,Valor faltante,,,,Operational,AI Engine
