ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,,translation_source
grib2/4/2/0/1/0,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",0,,Humedad específica,,,kg kg-1,Operational,,PDF
grib2/4/2/0/1/1,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",1,,Humedad relativa,,,%,Operational,,PDF
grib2/4/2/0/1/2,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",2,,Relación de mezcla de la humedad,,,kg kg-1,Operational,,PDF
grib2/4/2/0/1/3,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",3,,Agua precipitable,,,kg m-2,Operational,,PDF
grib2/4/2/0/1/4,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",4,,Presión de vapor,,,Pa,Operational,,PDF
grib2/4/2/0/1/5,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",5,,Déficit de saturación,,,Pa,Operational,,PDF
grib2/4/2/0/1/6,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",6,,Evaporación,,,kg m-2,Operational,,PDF
grib2/4/2/0/1/7,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",7,,Tasa de precipitación,(véase la nota 1),1,kg m-2 s-1,Deprecated,,PDF
grib2/4/2/0/1/8,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",8,,Total de las precipitaciones,(véase la nota 3),2,kg m-2,Deprecated,,PDF
grib2/4/2/0/1/9,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",9,,Precipitaciones en gran escala (no convectivas),(véase la nota 3),2,kg m-2,Deprecated,,PDF
grib2/4/2/0/1/10,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",10,,Precipitación convectiva,(véase la nota 3),2,kg m-2,Deprecated,,PDF
grib2/4/2/0/1/11,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",11,,Espesor de la nieve,,,m,Operational,,PDF
grib2/4/2/0/1/12,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",12,,Equivalente en agua de la nieve caída,(véase la nota 1),1,kg m-2 s-1,Deprecated,,PDF
grib2/4/2/0/1/13,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",13,,Equivalente en agua del espesor de nieve acumulada,(véase la nota 3),2,kg m-2,Deprecated,,PDF
grib2/4/2/0/1/14,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",14,,Nieve convective,(véase la nota 3),2,kg m-2,Deprecated,,PDF
grib2/4/2/0/1/15,Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",15,,Nieve en gran escala,(véase la nota 3),2,kg m-2,Deprecated,,PDF
