ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translation_source
grib2/4/252/0,Clases de baldosas y agrupaciones,,0,,Reservadas,,,,Operational,AI Engine
grib2/4/252/1/SEOC,Clases de baldosas y agrupaciones,,1,SEOC,Mares y océanos,,,,Operational,AI Engine
grib2/4/252/2/INWB,Clases y agrupaciones de baldosas,,2,INWB,Cuerpos de agua interiores,,,,Operational,AI Engine
grib2/4/252/3/BARE,Clases y agrupaciones de baldosas,,3,BARE,Terrenos baldíos,,,,Operational,AI Engine
grib2/4/252/4/HIV,Clases de baldosas y agrupaciones,,4,HIV,Vegetación alta,,,,Operational,AI Engine
grib2/4/252/5/LOV,Clases de baldosas y agrupaciones,,5,LOV,Vegetación baja,,,,Operational,AI Engine
grib2/4/252/6/URBAN,Clases de baldosas y agrupaciones,,6,URBAN,Urbana,,,,Operational,AI Engine
grib2/4/252/7-1000,Clases de baldosas y agrupaciones,,7-1000,,Reservado para clases/grupos de baldosas de intercomparación,((véase la nota 1)),139,,Operational,AI Engine
grib2/4/252/1001/SEAO,Clases de baldosas y agrupaciones,,1001,SEAO,Mar y océanos,,,,Operational,AI Engine
grib2/4/252/1002/LAKE,Clases de baldosas y agrupaciones,,1002,LAKE,Lagos,,,,Operational,AI Engine
grib2/4/252/1003/RIVE,Clases de baldosas y agrupaciones,,1003,RIVE,Ríos,,,,Operational,AI Engine
grib2/4/252/1004/NO,Clases de baldosas y agrupaciones,,1004,NO,Tierra desnuda,,,,Operational,AI Engine
grib2/4/252/1005/ROCK,Clases de baldosas y agrupaciones,,1005,ROCK,Roca desnuda,,,,Operational,AI Engine
grib2/4/252/1006/SNOW,Clases de baldosas y agrupaciones,,1006,SNOW,Nieve permanente,,,,Operational,AI Engine
grib2/4/252/1007/BOBD,Clases de baldosas y agrupaciones,,1007,BOBD,Latifoliadas caducifolias boreales,,,,Operational,AI Engine
grib2/4/252/1008/TEBD,Clases de baldosas y agrupaciones,,1008,TEBD,Caducifolio templado de hoja ancha,,,,Operational,AI Engine
grib2/4/252/1009/TRBD,Clases de baldosas y agrupaciones,,1009,TRBD,Tropical de hoja ancha caducifolio,,,,Operational,AI Engine
grib2/4/252/1010/TEBE,Clases de baldosas y agrupaciones,,1010,TEBE,Siempreverde templado de hoja ancha,,,,Operational,AI Engine
grib2/4/252/1011/TRBE,Clases de baldosas y agrupaciones,,1011,TRBE,Siempreverde de hoja ancha tropical,,,,Operational,AI Engine
grib2/4/252/1012/BONE,Clases de baldosas y agrupaciones,,1012,BONE,Siempreverde de hojas aciculares boreal,,,,Operational,AI Engine
grib2/4/252/1013/TENE,Clases de baldosas y agrupaciones,,1013,TENE,Perennifolio de hojas aciculares de clima templado,,,,Operational,AI Engine
grib2/4/252/1014/BOND,Clases de baldosas y agrupaciones,,1014,BOND,Deciduo de hojas aciculares boreales,,,,Operational,AI Engine
grib2/4/252/1015/SHRB,Clases de baldosas y agrupaciones,,1015,SHRB,Arbustos,,,,Operational,AI Engine
grib2/4/252/1016/BOGR,Clases de baldosas y agrupaciones,,1016,BOGR,Pastizal boreal,,,,Operational,AI Engine
grib2/4/252/1017/GRAS,Clases de baldosas y agrupaciones,,1017,GRAS,Pradera templada,,,,Operational,AI Engine
grib2/4/252/1018/TROG,Clases de baldosas y agrupaciones,,1018,TROG,Pradera tropical,,,,Operational,AI Engine
grib2/4/252/1019/C3W,Clases de baldosas y agrupaciones,,1019,C3W,Cultivos C3 de invierno,,,,Operational,AI Engine
grib2/4/252/1020/C3S,Clases de baldosas y agrupaciones,,1020,C3S,cultivos C3 de verano,,,,Operational,AI Engine
grib2/4/252/1021/C4,Clases de baldosas y agrupaciones,,1021,C4,cultivos C4,,,,Operational,AI Engine
grib2/4/252/1022/FLTR,Clases de baldosas y agrupaciones,,1022,FLTR,Árboles inundados,,,,Operational,AI Engine
grib2/4/252/1023/FLGR,Clases de baldosas y agrupaciones,,1023,FLGR,Pradera inundada,,,,Operational,AI Engine
grib2/4/252/1024/LCZ1,Clases de baldosas y agrupaciones,,1024,LCZ1,Zona climática local 1: edificios altos compactos,,,,Operational,AI Engine
grib2/4/252/1025/LCZ2,Clases de baldosas y agrupaciones,,1025,LCZ2,Zona climática local 2: edificios compactos de altura media,,,,Operational,AI Engine
grib2/4/252/1026/LCZ3,Clases de baldosas y agrupaciones,,1026,LCZ3,Zona climática local 3: edificios compactos de poca altura,,,,Operational,AI Engine
grib2/4/252/1027/LCZ4,Clases de baldosas y agrupaciones,,1027,LCZ4,Zona climática local 4: rascacielos abiertos (edificios),,,,Operational,AI Engine
grib2/4/252/1028/LCZ5,Clases de baldosas y agrupaciones,,1028,LCZ5,Zona climática local 5: edificios abiertos de altura media,,,,Operational,AI Engine
grib2/4/252/1029/LCZ6,Clases de baldosas y agrupaciones,,1029,LCZ6,Zona climática local 6: edificios bajos abiertos,,,,Operational,AI Engine
grib2/4/252/1030/LCZ7,Clases de baldosas y agrupaciones,,1030,LCZ7,Zona climática local 7: edificios ligeros de poca altura,,,,Operational,AI Engine
grib2/4/252/1031/LCZ8,Clases de baldosas y agrupaciones,,1031,LCZ8,Zona climática local 8: edificios grandes de poca altura,,,,Operational,AI Engine
grib2/4/252/1032/LCZ9,Clases de baldosas y agrupaciones,,1032,LCZ9,Zona climática local 9: escasamente construida (edificios),,,,Operational,AI Engine
grib2/4/252/1033/LCZ10,Clases de baldosas y agrupaciones,,1033,LCZ10,Zona climática local 10: industria pesada (edificios),,,,Operational,AI Engine
grib2/4/252/1034/TEBDU,Clases de baldosas y agrupaciones,,1034,TEBDU,Urbano templado de hojas anchas caducifolias,,,,Operational,AI Engine
grib2/4/252/1035/TRBDU,Clases de baldosas y agrupaciones,,1035,TRBDU,Urbano tropical de hoja ancha caducifolio,,,,Operational,AI Engine
grib2/4/252/1036/TEBEU,Clases de baldosas y agrupaciones,,1036,TEBEU,Evergreen de hoja ancha templado urbano,,,,Operational,AI Engine
grib2/4/252/1037/TRBEU,Clases de baldosas y agrupaciones,,1037,TRBEU,Urbano tropical de hoja ancha perenne,,,,Operational,AI Engine
grib2/4/252/1038/BONEU,Clases de baldosas y agrupaciones,,1038,BONEU,Urbano boreal de hoja acicular perenne,,,,Operational,AI Engine
grib2/4/252/1039/TENEU,Clases de baldosas y agrupaciones,,1039,TENEU,Templado urbano de hoja acicular perenne,,,,Operational,AI Engine
