ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translation_source
grib2/4/2/4/6/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",0,,Irradiancia solar integrada,,,W m-2,Operational,AI Engine
grib2/4/2/4/6/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de producto 4 - Productos de clima espacial, categoría de parámetro 6: emisiones electromagnéticas solares",1,,Flujo de rayos X solares (XRS largo),,,W m-2,Operational,AI Engine
grib2/4/2/4/6/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",2,,Flujo de rayos X solares (abreviado XRS),,,W m-2,Operational,AI Engine
grib2/4/2/4/6/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",3,,Irradiancia EUV solar,,,W m-2,Operational,AI Engine
grib2/4/2/4/6/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",4,,Irradiancia espectral de la radiación solar,,,W m-2 nm-1,Operational,AI Engine
grib2/4/2/4/6/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",5,,F10.7,,,W m⁻² Hz⁻¹,Operational,AI Engine
grib2/4/2/4/6/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",6,,Emisiones de radio solares,,,W m⁻² Hz⁻¹,Operational,AI Engine
grib2/4/2/4/6/7-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",7-191,,Reservadas,,,,Operational,AI Engine
grib2/4/2/4/6/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",192-254,,Reservadas para uso local,,,,Operational,AI Engine
grib2/4/2/4/6/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Disciplina de productos 4 - Productos de clima espacial, categoría de parámetros 6: emisiones electromagnéticas solares",255,,Valor faltante,,,,Operational,AI Engine
