ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/100/15,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",15,1,n2 - exposant de 2 indiquant le nombre d'intervalles sur les côtés du triangle,,,,,Operational,PDF
grib2/3/100/16,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",16,1,n3 - exposant de 3 indiquant le nombre d'intervalles sur les côtés du triangle,,,,,Operational,PDF
grib2/3/100/17-18,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",17-18,2,ni - nombre d'intervalles sur les côtés des triangles de l'icosaèdre,,,,,Operational,PDF
grib2/3/100/19,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",19,1,nd - nombre de losanges,,,,,Operational,PDF
grib2/3/100/20-23,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",20-23,4,Latitude du pôle de l'icosaèdre reporté sur la sphère,,,,,Operational,PDF
grib2/3/100/24-27,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",24-27,4,Longitude du pôle de l'icosaèdre reporté sur la sphère,,,,,Operational,PDF
grib2/3/100/28-31,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",28-31,4,Longitude de la ligne centrale du premier losange de l'icosaèdre reportée sur la sphère,,,,,Operational,PDF
grib2/3/100/32,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",32,1,Position des points de grille,(voir la table de code 3.8),,3.8,,Operational,PDF
grib2/3/100/33,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",33,1,Ordre de la numérotation des losanges,(indicateur - voir la table d'indicateurs 3.9),,,3.9,Operational,PDF
grib2/3/100/34,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",34,1,Mode d'exploration d'un losange,(voir la table d'indicateurs 3.10),,,3.10,Operational,PDF
grib2/3/100/35-38,"Modèle de définition de la grille 3.100 — Grille triangulaire basée sur un icosaèdre (voir partie B, supplément I du code GRIB)",35-38,4,nt - nombre total de points de grille,,,,,Operational,PDF
