ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/1/12-21,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,12-21,10,Voir le modèle de représentation des données 5.0,,,,,Experimental,PDF
grib2/5/1/22,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,22,1,0 - présence de tables binaires matricielles; 1 - absence de table binaire matricielle,,,,,Experimental,PDF
grib2/5/1/23-26,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,23-26,4,Nombre de valeurs de données codées dans la section 7,,,,,Experimental,PDF
grib2/5/1/27-28,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,27-28,2,NR - première dimension (lignes) de chaque matrice,,,,,Experimental,PDF
grib2/5/1/29-30,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,29-30,2,NC - deuxième dimension (colonnes) de chaque matrice,,,,,Experimental,PDF
grib2/5/1/31,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,31,1,Définition de la coordonnée en première dimension,(table de code 5.2),,5.2,,Experimental,PDF
grib2/5/1/32,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,32,1,NC1 - nombre de coefficients ou de valeurs utilisés pour préciser la fonction correspondant à la coordonnée en première dimension,,,,,Experimental,PDF
grib2/5/1/33,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,33,1,Définition de la coordonnée en deuxième dimension,(table de code 5.2),,5.2,,Experimental,PDF
grib2/5/1/34,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,34,1,NC2 - nombre de coefficients ou de valeurs utilisés pour préciser la fonction correspondant à la coordonnée en deuxième,,,,,Experimental,PDF
grib2/5/1/35,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,35,1,Caractéristique physique en première dimension,(table de code 5.3),,5.3,,Experimental,PDF
grib2/5/1/36,Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,36,1,Caractéristique physique en deuxième dimension,(table de code 5.3),,5.3,,Experimental,PDF
grib2/5/1/37-(36+NC1x4),Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,37-(36+NC1x4),,"Coefficients définissant sous forme de fonctions les valeurs des coordonnées en première dimension, ou valeurs explicites des coordonnées (valeur en virgule flottante IEEE 32 bits)",,,,,Experimental,PDF
grib2/5/1/(37+NC1x4)-(36+4(NC1+NC2)),Modèle de représentation des données 5.1 — Matrices aux points de grille — compression simple,(37+NC1x4)-(36+4(NC1+NC2)),,"Coefficients définissant sous forme de fonctions les valeurs des coordonnées en deuxième dimension, ou valeurs explicites des coordonnées (valeur en virgule flottante IEEE 32 bits)",,,,,Experimental,PDF
