ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/53/12-15,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,12-15,4,Valeur de référence (R) (valeur en virgule flottante IEEE 32 bits),,,,,Operational,PDF
grib2/5/53/16-17,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,16-17,2,Facteur d'échelle binaire (E),,,,,Operational,PDF
grib2/5/53/18-19,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,18-19,2,Facteur d'échelle décimale (D),,,,,Operational,PDF
grib2/5/53/20,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,20,1,Nombre de bits utilisés pour chaque valeur compressée (largeur du champ),,,,,Operational,PDF
grib2/5/53/21,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,21,1,Type de sous-troncature avec transformée de Fourier 2D,(voir la table de code 5.25),,5.25,,Operational,PDF
grib2/5/53/22,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,22,1,Méthode de compression pour les axes,(voir la table de code 5.26),,5.26,,Operational,PDF
grib2/5/53/23-26,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,23-26,4,P - facteur d'échelle laplacien (exprimé en 10-6),,,,,Operational,PDF
grib2/5/53/27-28,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,27-28,2,NS - paramètre de résolution avec transformée de Fourier 2D de la sous-série décompressée,(voir la note 1),,,,Operational,PDF
grib2/5/53/29-30,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,29-30,2,MS - paramètre de résolution avec transformée de Fourier 2D de la sous-série décompressée,(voir la note 1),,,,Operational,PDF
grib2/5/53/31-34,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,31-34,4,TS - nombre total de valeurs figurant dans la sous-série décompressée,(voir la note 1),,,,Operational,PDF
grib2/5/53/35,Modèle de représentation des données 5.53 — Données spectrales pour les modèles à domaine limité - compression complexe,35,1,Précision de la sous-série décompressée,(voir la table de code 5.7),,5.7,,Operational,PDF
