Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",12-13,,Type d'aérosol,(voir la table de code commune C-14),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",14,,Source ou puits,(voir la table de code 4.238),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",15,,Type d'intervalle pour la première et la deuxième taille,(voir la table de code 4.91),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",16,,Facteur d'échelle de la première taille,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",17-20,,Valeur ajustée de la première taille en mètres,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",21,,Facteur d'échelle de la deuxième taille,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",22-25,,Valeur ajustée de la deuxième taille en mètres,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",26,,Type d'intervalle pour la première et la deuxième longueur d'onde indiquée,(voir la table de code 4.91),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",27,,Facteur d'échelle de la première longueur d'onde,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",28-31,,Valeur ajustée de la première longueur d'onde en mètres,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",32,,Facteur d'échelle de la deuxième longueur d'onde,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",33-36,,Valeur ajustée de la deuxième longueur d'onde en mètres,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",37,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",38,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",39,,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",40-41,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",42,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",43,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",44-47,,Heure de la prévision exprimée dans l'unité précisée par l'octet 42,,,,,Operational
"Modèle de définition du produit 4.80 – Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",48,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Operational
(Modèle de définition du produit 4.80 suite),49,,Facteur d'échelle - première surface spécifiée,,,,,Operational
(Modèle de définition du produit 4.80 suite),50-53,,Valeur ajustée - première surface spécifiée,,,,,Operational
(Modèle de définition du produit 4.80 suite),54,,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,,,Operational
(Modèle de définition du produit 4.80 suite),55,,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational
(Modèle de définition du produit 4.80 suite),56-59,,Valeur ajustée - deuxième surface spécifiée,,,,,Operational
