ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/144/10,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de période.,10,1,Catégorie du paramètre,((voir la table de code 4.1)),,4.1,,Operational,AI Engine
grib2/4/144/11,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,11,1,Numéro du paramètre,((voir la table de code 4.2)),,4.2,,Operational,AI Engine
grib2/4/144/12,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,12,1,Type d'intervalle de période d'onde,((voir la table de code 4.91)),,4.91,,Operational,AI Engine
grib2/4/144/13,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de période.,13,1,Facteur d'échelle de la limite inférieure de la période d'onde,,,,,Operational,AI Engine
grib2/4/144/14-17,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de période.,14-17,4,Valeur mise à l'échelle de la limite inférieure de la période des vagues,((voir la note 1)),163,,,Operational,AI Engine
grib2/4/144/18,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,18,1,Facteur d'échelle de la limite supérieure de la période d'onde,,,,,Operational,AI Engine
grib2/4/144/19-22,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,19-22,4,Valeur mise à l'échelle de la limite supérieure de la période d'onde,((voir la note 1)),163,,,Operational,AI Engine
grib2/4/144/23,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,23,1,Type du processus de production,((voir la table de code 4.3)),,4.3,,Operational,AI Engine
grib2/4/144/24,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,24,1,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational,AI Engine
grib2/4/144/25,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,25,1,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational,AI Engine
grib2/4/144/26-27,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,26-27,2,Limite (heures) de tombée des données d'observation après l'heure de référence,((voir la note 2)),33,,,Operational,AI Engine
grib2/4/144/28,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,28,1,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational,AI Engine
grib2/4/144/29,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,29,1,Indicateur d'unité de l'intervalle de temps,((voir la table de code 4.4)),,4.4,,Operational,AI Engine
grib2/4/144/30-33,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,30-33,4,Heure de la prévision exprimée dans l'unité précisée par l'octet précédent,,,,,Operational,AI Engine
grib2/4/144/34,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,34,1,Type de la première surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI Engine
grib2/4/144/35,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,35,1,Facteur d'échelle - première surface spécifiée,,,,,Operational,AI Engine
grib2/4/144/36-39,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,36-39,4,Valeur ajustée - première surface spécifiée,,,,,Operational,AI Engine
grib2/4/144/40,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,40,1,Type de la deuxième surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI Engine
grib2/4/144/41,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,41,1,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational,AI Engine
grib2/4/144/42-45,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,42-45,4,Valeur ajustée - deuxième surface spécifiée,,,,,Operational,AI Engine
grib2/4/144/46-47,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,46-47,2,Année - Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/48,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,48,1,Mois- Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/49,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,49,1,Jour - Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/50,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,50,1,Heure - Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/51,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,51,1,Minute - Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/52,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,52,1,Seconde - Fin de l’intervalle de temps complet,,,,,Operational,AI Engine
grib2/4/144/53,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,53,1,n - nombre des spécifications décrivant les intervalles de temps sur lesquels porte le calcul statistique du champ,,,,,Operational,AI Engine
grib2/4/144/54-57,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,54-57,4,Nombre total de valeurs manquantes dans le calcul statistique,,,,,Operational,AI Engine
grib2/4/144//1,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,,,Spécification de la plage temporelle la plus extérieure (ou unique) sur laquelle le traitement statistique est effectué.,,,,,Operational,AI Engine
grib2/4/144/58,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,58,1,Calcul statistique ayant permis d'obtenir le champ élaboré à partir du champ à chaque incrément de temps durant l'intervalle de temps,((voir la table de code 4.10)),,4.10,,Operational,AI Engine
grib2/4/144/59,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,59,1,Type d'incrément de temps entre les champs successifs employé pour le calcul statistique,((voir la table de code 4.11)),,4.11,,Operational,AI Engine
grib2/4/144/60,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,60,1,Indicateur de l'unité de temps employée pour l'intervalle de temps sur lequel porte le calcul statistique,((voir la table de code 4.4)),,4.4,,Operational,AI Engine
grib2/4/144/61-64,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,61-64,4,"Durée de l'intervalle de temps sur lequel porte le calcul statistique, exprimée dans l'unité indiquée par l'octet précédent",,,,,Operational,AI Engine
grib2/4/144/65,Analyse ou prévision à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu pour des vagues sélectionnées par plage de périodes,65,1,Indicateur de l'unité de temps employée pour l'incrément de temps entre les champs successifs,((voir la table de code 4.4)),,4.4,,Operational,AI Engine
