Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",12,,Type du processus de production,(voir la table de code 4.3),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",13,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",14,,Indicateur du processus de production de la prévision (défini par le centre d'origine),,,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",15-16,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note 1),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",17,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",18,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",19-22,,Heure de la prévision exprimée dans l'unité précisée par l'octet précédent,(voir la note 2),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",23,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Experimental
"Modèle de définition du produit 4.10 — Prévision en percentiles pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",24,,Facteur d'échelle - première surface spécifiée,,,,,Experimental
