ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/40/15,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,15,,Forme de la Terre,(voir la table de code 3.2),,,,Operational,Original
grib2/3/40/16,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,16,,Facteur d'échelle du rayon de la Terre sphérique,,,,,Operational,Original
grib2/3/40/17-20,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,17-20,,Valeur ajustée du rayon de la Terre sphérique,,,,,Operational,Original
grib2/3/40/21,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,21,,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/40/22-25,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,22-25,,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/40/26,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,26,,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/40/27-30,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,27-30,,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/40/31-34,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,31-34,,Ni - nombre de points le long d'un parallèle,,,,,Operational,Original
grib2/3/40/35-38,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,35-38,,Nj - nombre de points le long d'un méridien,,,,,Operational,Original
grib2/3/40/39-42,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,39-42,,Angle de base du domaine de production initial,(voir la note 1),,,,Operational,Original
grib2/3/40/43-46,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,43-46,,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes et les incréments de direction,(voir la note 1),,,,Operational,Original
grib2/3/40/47-50,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,47-50,,La1 - latitude du premier point de la grille,(voir la note 1),,,,Operational,Original
grib2/3/40/51-54,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,51-54,,Lo1 - longitude du premier point de la grille,(voir la note 1),,,,Operational,Original
grib2/3/40/55,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,55,,Indicateurs de résolution et de composantes,(voir la table d'indicateurs 3.3),,,,Operational,Original
grib2/3/40/56-59,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,56-59,,La2 - latitude du dernier point de la grille,(voir la note 1),,,,Operational,Original
grib2/3/40/60-63,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,60-63,,Lo2 - longitude du dernier point de la grille,(voir la note 1),,,,Operational,Original
grib2/3/40/64-67,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,64-67,,Di - incrément de la direction i,(voir les notes 1 et 5),,,,Operational,Original
grib2/3/40/68-71,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,68-71,,N - nombre de parallèles entre un pôle et l'équateur,(voir la note 2),,,,Operational,Original
grib2/3/40/72,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,72,,Mode d'exploration,(indicateurs – voir la table d'indicateurs 3.4),,,,Operational,Original
grib2/3/40/73-nn,Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,73-nn,,Liste de nombre de points le long de chaque méridien ou parallèle,(ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 4),,,,Operational,Original
