ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/1100/15,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",15,1,Forme de la Terre,(voir la table de code 3.2),,3.2,,Experimental,Original
grib2/3/1100/16,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",16,1,Facteur d'échelle du rayon de la Terre sphérique,,,,,Experimental,Original
grib2/3/1100/17-20,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",17-20,4,Valeur ajustée du rayon de la Terre sphérique,,,,,Experimental,Original
grib2/3/1100/21,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",21,1,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie,,,,,Experimental,Original
grib2/3/1100/22-25,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",22-25,4,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie,,,,,Experimental,Original
grib2/3/1100/26,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",26,1,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie,,,,,Experimental,Original
grib2/3/1100/27-30,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",27-30,4,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie,,,,,Experimental,Original
grib2/3/1100/31-34,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",31-34,4,Nombre de points horizontaux,,,,,Experimental,Original
grib2/3/1100/35-38,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",35-38,4,Angle de base du domaine de production initial,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/39-42,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",39-42,4,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/43-46,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",43-46,4,La1 - latitude du premier point de grille,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/47-50,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",47-50,4,Lo1 - longitude du premier point de la grille,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/51,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",51,1,Mode d'exploration,(voir la table d'indicateurs 3.4),,,3.4,Experimental,Original
grib2/3/1100/52-55,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",52-55,4,La2 - latitude du dernier point de la grille,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/56-59,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",56-59,4,Lo2 - longitude du dernier point de la grille,(voir la note 1),9,,,Experimental,Original
grib2/3/1100/60,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",60,1,Type de ligne horizontale,(voir la table de code 3.20),,3.20,,Experimental,Original
grib2/3/1100/61-64,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",61-64,4,NT - Nombre de pas de temps,,,,,Experimental,Original
grib2/3/1100/65,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",65,1,Unité de décalage par rapport à l'heure de référence,(voir la table de code 4.4),,,,Experimental,Original
grib2/3/1100/66-69,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",66-69,4,Décalage de la première heure par rapport l'heure de référence (valeur négative lorsque le premier bit est mis à 1),,,,,Experimental,Original
grib2/3/1100/70,"Modèle de définition de la grille 3.1100 — Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",70,1,Type d'incrément de temps,(voir la table de code 4.11),,,,Experimental,Original
