Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",12-13,,Indicateur pour le traitement des données d'entrée,(voir la note 1),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",14-15,,Centre d'origine des données d'entrée,(voir la table de code commune C-11 et la note 2),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",16,,Type de post-traitement,(voir la note 3),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",17,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",18,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",19,,Indicateur du processus de production de la prévision (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",20-21,,Limite (heures) de tombée des données après l'heure de référence,(voir la note 4),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",22,,Limite (minutes) de tombée des données après l'heure de référence,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",23,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",24-27,,Heure de la prévision exprimée dans l'unité précisée par l'octet 23,(voir la note 5),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",28,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",29,,Facteur d'échelle - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",30-33,,Valeur ajustée - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",34,,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",35,,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",36-39,,Valeur ajustée – deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",40,,Type de prévision d'ensemble,(voir la table de code 4.6),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",41,,Numéro de la perturbation,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",42,,Nombre de prévisions dans l'ensemble,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",43-44,,Année,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",45,,Mois,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",46,,Jour,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",47,,Heure,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",48,,Minute,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",49,,Seconde,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",50,,n - nombre de spécifications décrivant les intervalles de temps sur lesquels porte le calcul statistique du champ,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",51-54,,Nombre total de valeurs manquantes dans le calcul statistique,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",,,55-66   Spécification de l'intervalle de temps le plus éloigné (ou intervalle de temps unique) sur lequel porte le calcul statistique,,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",55,,Calcul statistique permettant d'obtenir le champ élaboré à partir du champ à chaque incrément de temps durant l'intervalle de temps,(voir la table de code 4.10),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",56,,Type d'incrément de temps entre les champs successifs utilisé pour le calcul statistique,(voir la table de code 4.11),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",57,,Indicateur de l'unité de temps employée pour l'intervalle de temps sur lequel porte le calcul statistique,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",58-61,,"Durée de l'intervalle de temps sur lequel porte le calcul statistique, exprimée dans l'unité indiquée par l'octet précédent",,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",62,,Indicateur de l'unité de temps employée pour l'incrément de temps entre les champs successifs,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",63-66,,"Incrément de temps entre les champs successifs, exprimé dans l'unité indiquée par l'octet précédent",(voir les notes 6 et 7),,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",,,"67-nn   Ces octets figurent dans le message uniquement si n>1, nn = 54 + 12 x n",,,,,Operational
"Modèle de définition du produit 4.73 Prévision d'ensemble post-traitement prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non",67-78,,"Même contenu que les octets 55 à 66, pour l'étape suivante du calcul",,,,,Operational
(Modèle de définition du produit 4.73 suite),79-nn,,"Spécifications des intervalles de temps supplémentaires, incluses en fonction de la valeur de n. Le contenu est le même que celui des octets 55 à 66, répétés au besoin",,,,,Operational
