ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/86/10,prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné,10,1,Catégorie du paramètre,((voir la table de code 4.1)),,4.1,,Operational,AI Engine
grib2/4/86/11,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,11,1,Numéro du paramètre,((voir la table de code 4.2)),,4.2,,Operational,AI Engine
grib2/4/86/12,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,12,1,Type du processus de production,((voir la table de code 4.3)),,4.3,,Operational,AI Engine
grib2/4/86/13,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,13,1,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational,AI Engine
grib2/4/86/14,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,14,1,Indicateur du processus de production de la prévision (défini par le centre d'origine),,,,,Operational,AI Engine
grib2/4/86/15-16,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,15-16,2,Limite (heures) de tombée des données d'observation après l'heure de référence,((voir la note)),33,,,Operational,AI Engine
grib2/4/86/17,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,17,1,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational,AI Engine
grib2/4/86/18,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,18,1,Indicateur d'unité de l'intervalle de temps,((voir la table de code 4.4)),,4.4,,Operational,AI Engine
grib2/4/86/19-22,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,19-22,4,Heure de la prévision exprimée dans l'unité précisée par l'octet 18,,,,,Operational,AI Engine
grib2/4/86/23,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,23,1,Type de la première surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI Engine
grib2/4/86/24,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,24,1,Facteur d'échelle - première surface spécifiée,,,,,Operational,AI Engine
grib2/4/86/25-28,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,25-28,4,Valeur ajustée - première surface spécifiée,,,,,Operational,AI Engine
grib2/4/86/29,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,29,1,Type de la deuxième surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI Engine
grib2/4/86/30,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,30,1,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational,AI Engine
grib2/4/86/31-34,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,31-34,4,Valeur ajustée - deuxième surface spécifiée,,,,,Operational,AI Engine
grib2/4/86/35-36,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,35-36,2,Nombre total de quantile q,,,,,Operational,AI Engine
grib2/4/86/37-38,Prévisions quantiles à un niveau horizontal ou dans une couche horizontale à un moment donné.,37-38,2,Valeur du quantile (entre 0 et q),,,,,Operational,AI Engine
