ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/10/15,Modèle de définition de la grille 3.10 — Projection de Mercator,15,1,Forme de la Terre,(voir la table de code 3.2),,3.2,,Operational,Original
grib2/3/10/16,Modèle de définition de la grille 3.10 — Projection de Mercator,16,1,Facteur d'échelle du rayon de la Terre sphérique,,,,,Operational,Original
grib2/3/10/17-20,Modèle de définition de la grille 3.10 — Projection de Mercator,17-20,4,Valeur ajustée du rayon de la Terre sphérique,,,,,Operational,Original
grib2/3/10/21,Modèle de définition de la grille 3.10 — Projection de Mercator,21,1,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/10/22-25,Modèle de définition de la grille 3.10 — Projection de Mercator,22-25,4,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/10/26,Modèle de définition de la grille 3.10 — Projection de Mercator,26,1,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/10/27-30,Modèle de définition de la grille 3.10 — Projection de Mercator,27-30,4,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,Original
grib2/3/10/31-34,Modèle de définition de la grille 3.10 — Projection de Mercator,31-34,4,Ni - nombre de points le long d'un parallèle,,,,,Operational,Original
grib2/3/10/35-38,Modèle de définition de la grille 3.10 — Projection de Mercator,35-38,4,Nj - nombre de points le long d'un méridien,,,,,Operational,Original
grib2/3/10/39-42,Modèle de définition de la grille 3.10 — Projection de Mercator,39-42,4,La1 - latitude du premier point de la grille,,,,,Operational,Original
grib2/3/10/43-46,Modèle de définition de la grille 3.10 — Projection de Mercator,43-46,4,Lo1 - longitude du premier point de la grille,,,,,Operational,Original
grib2/3/10/47,Modèle de définition de la grille 3.10 — Projection de Mercator,47,1,Indicateurs de résolution et de composantes,(voir la table d'indicateurs 3.3),,,3.3,Operational,Original
grib2/3/10/48-51,Modèle de définition de la grille 3.10 — Projection de Mercator,48-51,4,LaD latitude(s) d'intersection du cylindre de projection de Mercator avec la Terre (latitude(s) pour laquelle (lesquelles) Di et Dj sont précisées),,,,,Operational,Original
grib2/3/10/52-55,Modèle de définition de la grille 3.10 — Projection de Mercator,52-55,4,La2 - latitude du dernier point de la grille,,,,,Operational,Original
grib2/3/10/56-59,Modèle de définition de la grille 3.10 — Projection de Mercator,56-59,4,Lo2 - longitude du dernier point de la grille,,,,,Operational,Original
grib2/3/10/60,Modèle de définition de la grille 3.10 — Projection de Mercator,60,1,Mode d'exploration,(voir la table d'indicateurs 3.4),,,3.4,Operational,Original
grib2/3/10/61-64,Modèle de définition de la grille 3.10 — Projection de Mercator,61-64,4,"Orientation de la grille, angle entre la direction i sur la carte et l'équateur",(voir la note 1),,,,Operational,Original
grib2/3/10/65-68,Modèle de définition de la grille 3.10 — Projection de Mercator,65-68,4,Di - longueur de grille dans le sens de la longitude,(voir la note 2),,,,Operational,Original
grib2/3/10/69-72,Modèle de définition de la grille 3.10 — Projection de Mercator,69-72,4,Dj - longueur de grille dans le sens de la latitude,(voir la note 2),,,,Operational,Original
grib2/3/10/73-nn,Modèle de définition de la grille 3.10 — Projection de Mercator,73-nn,,Liste de nombre de points le long de chaque méridien ou parallèle,(ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans les notes 2 et 3 du modèle de définition de la grille 3.1),,,,Operational,Original
