ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/40/15,Grille gaussienne latitude/longitude,15,1,Forme de la Terre,(voir la table de code 3.2),,3.2,,Operational,PDF
grib2/3/40/16,Grille gaussienne latitude/longitude,16,1,Facteur d'échelle du rayon de la Terre sphérique,,,,,Operational,PDF
grib2/3/40/17-20,Grille gaussienne latitude/longitude,17-20,4,Valeur ajustée du rayon de la Terre sphérique,,,,,Operational,PDF
grib2/3/40/21,Grille gaussienne latitude/longitude,21,1,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,PDF
grib2/3/40/22-25,Grille gaussienne latitude/longitude,22-25,4,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie,,,,,Operational,PDF
grib2/3/40/26,Grille gaussienne latitude/longitude,26,1,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,PDF
grib2/3/40/27-30,Grille gaussienne latitude/longitude,27-30,4,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie,,,,,Operational,PDF
grib2/3/40/31-34,Grille gaussienne latitude/longitude,31-34,4,Ni - nombre de points le long d'un parallèle,,,,,Operational,PDF
grib2/3/40/35-38,Grille gaussienne latitude/longitude,35-38,4,Nj - nombre de points le long d'un méridien,,,,,Operational,PDF
grib2/3/40/39-42,Grille gaussienne latitude/longitude,39-42,4,Angle de base du domaine de production initial,(voir la note 1),9,,,Operational,PDF
grib2/3/40/43-46,Grille gaussienne latitude/longitude,43-46,4,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes et les incréments de direction,(voir la note 1),9,,,Operational,PDF
grib2/3/40/47-50,Grille gaussienne latitude/longitude,47-50,4,La1 - latitude du premier point de la grille,(voir la note 1),9,,,Operational,PDF
grib2/3/40/51-54,Grille gaussienne latitude/longitude,51-54,4,Lo1 - longitude du premier point de la grille,(voir la note 1),9,,,Operational,PDF
grib2/3/40/55,Grille gaussienne latitude/longitude,55,1,Indicateurs de résolution et de composantes,(voir la table d'indicateurs 3.3),,,3.3,Operational,PDF
grib2/3/40/56-59,Grille gaussienne latitude/longitude,56-59,4,La2 - latitude du dernier point de la grille,(voir la note 1),9,,,Operational,PDF
grib2/3/40/60-63,Grille gaussienne latitude/longitude,60-63,4,Lo2 - longitude du dernier point de la grille,(voir la note 1),9,,,Operational,PDF
grib2/3/40/64-67,Grille gaussienne latitude/longitude,64-67,4,Di - incrément de la direction i,(voir les notes 1 et 5),"9,45",,,Operational,PDF
grib2/3/40/68-71,Grille gaussienne latitude/longitude,68-71,4,N - nombre de parallèles entre un pôle et l'équateur,(voir la note 2),87,,,Operational,PDF
grib2/3/40/72,Grille gaussienne latitude/longitude,72,1,Mode d'exploration,(voir la table d'indicateurs 3.4),,,3.4,Operational,PDF
grib2/3/40/73-nn,Grille gaussienne latitude/longitude,73-nn,,Liste de nombre de points le long de chaque méridien ou parallèle,(voir les notes 4 and 6),"4,124",,,Operational,PDF
