ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/59/10,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",10,1,Catégorie du paramètre,(voir la table de code 4.1),,4.1,,Operational,Original
grib2/4/59/11,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",11,1,Numéro du paramètre,(voir la table de code 4.2),,4.2,,Operational,Original
grib2/4/59/12,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",12,1,Classification des dalles,(voir la table de code 4.242),,4.242,,Operational,Original
grib2/4/59/13,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",13,1,Nombre total (NT) de paires de dalles ou de caractéristiques,(voir les notes 1 et 2),,,,Operational,Original
grib2/4/59/14,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",14,1,Nombre de dalles spatiales utilisées (NUT),(voir les notes 1 et 2),,,,Operational,Original
grib2/4/59/15,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",15,1,"Indice de dalle (ITN = {1,..., NUT})",(voir la note 1),,,,Operational,Original
grib2/4/59/16,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",16,1,Nombre de caractéristiques de dalle utilisées (NAT) pour ITN,(voir la note 1),,,,Operational,Original
grib2/4/59/17,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",17,1,"Caractéristique de la dalle (A = {A(1),..., A(NAT(ITN))})",(voir la table de code 4.241)  (voir la note 1),,4.241,,Operational,Original
grib2/4/59/18,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",18,1,Type du processus de production,(voir la table de code 4.3),,4.3,,Operational,Original
grib2/4/59/19,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",19,1,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational,Original
grib2/4/59/20,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",20,1,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational,Original
grib2/4/59/21-22,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",21-22,2,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note 3),,,,Operational,Original
grib2/4/59/23,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",23,1,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational,Original
grib2/4/59/24,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",24,1,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,4.4,,Operational,Original
grib2/4/59/25-28,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",25-28,4,Heure de la prévision exprimée dans l'unité précisée par l'octet 24,,,,,Operational,Original
grib2/4/59/29,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",29,1,Type de la première surface spécifiée,(voir la table de code 4.5),,4.5,,Operational,Original
grib2/4/59/30,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",30,1,Facteur d'échelle - première surface spécifiée,,,,,Operational,Original
grib2/4/59/31-34,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",31-34,4,Valeur ajustée - première surface spécifiée,,,,,Operational,Original
grib2/4/59/35,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",35,1,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,4.5,,Operational,Original
grib2/4/59/36,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",36,1,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational,Original
grib2/4/59/37-40,"Modèle de définition du produit 4.59 Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné, relative aux paramètres de la dynamique spatio-temporelle des mosaïques",37-40,4,Valeur ajustée - deuxième surface spécifiée,,,,,Operational,Original
grib2/4/59/41,(Modèle de définition du produit 4.59 suite),41,1,Type de prévision d'ensemble,(voir la table de code 4.6),,4.6,,Operational,Original
grib2/4/59/42,(Modèle de définition du produit 4.59 suite),42,1,Numéro de la perturbation,,,,,Operational,Original
grib2/4/59/43,(Modèle de définition du produit 4.59 suite),43,1,Nombre de prévisions dans l'ensemble,,,,,Operational,Original
